code_circo,nom,genre,FILLON
2B_2,Stéphanie Grimaldi,H,0.25758399735180800
50_2,Guénhaël Huet,H,0.2573188310837370
50_2,Guénhaël Huet,H,0.2573188310837370
94_6,Patrick Beaudouin,H,0.25523394795742800
94_6,Patrick Beaudouin,H,0.25523394795742800
53_1,Samia Soultani-Vigneron,F,0.25514480408858600
21_1,Anne Erschens,F,0.2547013827061790
67_4,Sophie Rohfritsch,F,0.254595357797923
976_1,Elad Chakrina,H,0.2543893874365980
976_1,Elad Chakrina,H,0.2543893874365980
78_12,David Douillet,H,0.2541026710428490
78_12,David Douillet,H,0.2541026710428490
74_1,Bernard Accoyer,H,0.2526650597619460
74_1,Bernard Accoyer,H,0.2526650597619460
74_2,Lionel Tardy,H,0.2525371064317820
74_2,Lionel Tardy,H,0.2525371064317820
60_4,Eric Woerth,H,0.2522046815459990
60_4,Eric Woerth,H,0.2522046815459990
06_4,Xavier Beck,H,0.2511906567571670
06_4,Xavier Beck,H,0.2511906567571670
31_3,Laurence Arribagé,F,0.2508773039107200
61_1,Bertrand Deniaud,H,0.25027069948747600
61_1,Bertrand Deniaud,H,0.25027069948747600
2B_1,Sauveur Gandolfi-Scheit,H,0.2496493688639550
2B_1,Sauveur Gandolfi-Scheit,H,0.2496493688639550
06_5,Marine Brenier,F,0.24829976938556700
33_1,Nicolas Florian,H,0.2482573070808360
33_1,Nicolas Florian,H,0.2482573070808360
74_4,Virginie Duby-Muller,F,0.24817401588646100
49_1,Caroline Fel,F,0.2473250228214840
94_5,Gilles Carrez,H,0.24627501689834500
94_5,Gilles Carrez,H,0.24627501689834500
33_8,Yves Foulon,H,0.24601849920022300
33_8,Yves Foulon,H,0.24601849920022300
35_7,Gilles Lurton,H,0.24561336781784100
35_7,Gilles Lurton,H,0.24561336781784100
13_14,Stéphane Paoli,H,0.2451031194942480
13_14,Stéphane Paoli,H,0.2451031194942480
95_7,Jérôme Chartier,H,0.24416305422465600
95_7,Jérôme Chartier,H,0.24416305422465600
13_11,Christian Kert,H,0.24362788568813100
13_11,Christian Kert,H,0.24362788568813100
64_6,Maïder Arosteguy,F,0.24358642135268200
69_9,Bernard Perrut,H,0.24337104040840800
69_9,Bernard Perrut,H,0.24337104040840800
68_5,Olivier Becht,H,0.24328169459374000
68_5,Olivier Becht,H,0.24328169459374000
01_3,Stéphanie Pernod-Beaudon,F,0.24175747658670800
12_1,Yves Censi,H,0.24131814041199900
12_1,Yves Censi,H,0.24131814041199900
73_2,Hervé Gaymard,H,0.24115200773066900
73_2,Hervé Gaymard,H,0.24115200773066900
91_5,Laure Darcos,F,0.24068916264952700
92_12,Philippe Pemezec,H,0.24038397082679800
92_12,Philippe Pemezec,H,0.24038397082679800
44_1,Julien Bainvel,H,0.23891666390755900
44_1,Julien Bainvel,H,0.23891666390755900
67_9,Claude Sturni,H,0.23798573110757100
67_9,Claude Sturni,H,0.23798573110757100
10_1,Nicolas Dhuicq,H,0.23793136968990000
10_1,Nicolas Dhuicq,H,0.23793136968990000
59_6,Thierry Lazaro,H,0.237698081734779
59_6,Thierry Lazaro,H,0.237698081734779
2A_1,Jean-Jacques Ferrara,H,0.23743891376232700
2A_1,Jean-Jacques Ferrara,H,0.23743891376232700
85_5,Jean-Michel Lalère,H,0.23737705921042600
85_5,Jean-Michel Lalère,H,0.23737705921042600
59_4,Marc-Philippe Daubresse,H,0.2372588278121590
59_4,Marc-Philippe Daubresse,H,0.2372588278121590
49_3,Jean-Charles Taugourdeau,H,0.2361261277229300
49_3,Jean-Charles Taugourdeau,H,0.2361261277229300
10_2,Jean-Claude Mathis,H,0.23548078891694500
10_2,Jean-Claude Mathis,H,0.23548078891694500
51_2,Catherine Vautrin,F,0.23498423165137600
49_7,Étienne Glémot,H,0.23473276432238400
49_7,Étienne Glémot,H,0.23473276432238400
49_6,André Martin,H,0.23464103519615500
49_6,André Martin,H,0.23464103519615500
45_1,Charles-Eric Lemaignen,H,0.2346313862539520
45_1,Charles-Eric Lemaignen,H,0.2346313862539520
85_1,Alain Leboeuf,H,0.23459033941394200
85_1,Alain Leboeuf,H,0.23459033941394200
77_2,Valérie Lacroute,F,0.23406159599801800
37_5,Philippe Briand,H,0.2338820809933770
37_5,Philippe Briand,H,0.2338820809933770
69_2,Laurence Balas,F,0.23278347750285000
85_2,Luc Bouard,H,0.2324753884473970
85_2,Luc Bouard,H,0.2324753884473970
06_2,Charles-Ange Ginesy,H,0.23141222397711400
06_2,Charles-Ange Ginesy,H,0.23141222397711400
95_6,Luc Strehaiano,H,0.2309754696286500
95_6,Luc Strehaiano,H,0.2309754696286500
76_2,Françoise Guégot,F,0.23023052991942500
13_6,Guy Teissier,H,0.23022816040153400
13_6,Guy Teissier,H,0.23022816040153400
17_5,Didier Quentin,H,0.2294838893641290
17_5,Didier Quentin,H,0.2294838893641290
21_5,Alain Suguenot,H,0.228930496539091
21_5,Alain Suguenot,H,0.228930496539091
48_1,Pierre Morel-à-l’Huissier,H,0.22817621035578500
48_1,Pierre Morel-à-l’Huissier,H,0.22817621035578500
74_3,Martial Saddier,H,0.22793830991626000
74_3,Martial Saddier,H,0.22793830991626000
67_6,Laurent Furst,H,0.22594485790714300
67_6,Laurent Furst,H,0.22594485790714300
51_3,Philippe-Armand Martin,H,0.22584883928426600
51_3,Philippe-Armand Martin,H,0.22584883928426600
79_3,Véronique Schaaf-Gauthier,F,0.22480758904600000
94_4,Marie-Carole Ciuntu,F,0.224741551559378
73_1,Dominique Dord,H,0.22400826265947100
73_1,Dominique Dord,H,0.22400826265947100
13_15,Bernard Reynès,H,0.2235533212108250
13_15,Bernard Reynès,H,0.2235533212108250
68_2,Jean-Louis Christ,H,0.22353054326619200
68_2,Jean-Louis Christ,H,0.22353054326619200
56_2,Philippe Le Ray,H,0.22347722271641900
56_2,Philippe Le Ray,H,0.22347722271641900
62_4,Daniel Fasquelle,H,0.22158602920126000
62_4,Daniel Fasquelle,H,0.22158602920126000
17_1,Bruno Leal,H,0.2215716332018190
17_1,Bruno Leal,H,0.2215716332018190
01_4,Michel Voisin,H,0.22118450065306200
01_4,Michel Voisin,H,0.22118450065306200
13_9,Bernard Deflesselles,H,0.22115029298421600
13_9,Bernard Deflesselles,H,0.22115029298421600
61_3,Jérôme Nury,H,0.22112396636176900
61_3,Jérôme Nury,H,0.22112396636176900
18_1,Wladimir d'Ormesson,H,0.22098934135009600
18_1,Wladimir d'Ormesson,H,0.22098934135009600
37_1,Céline Ballesteros,F,0.2204039887496800
999_3,Laurence Azzena-Gougeon,F,0.22040388776316200
14_5,Cédric Nouvelot,H,0.2201613014028000
14_5,Cédric Nouvelot,H,0.2201613014028000
41_2,Guillaume Peltier,H,0.21981604561060900
41_2,Guillaume Peltier,H,0.21981604561060900
67_8,Frédéric Reiss,H,0.21963690759502300
67_8,Frédéric Reiss,H,0.21963690759502300
50_3,Jean-Manuel Cousin,H,0.21936409165037800
50_3,Jean-Manuel Cousin,H,0.21936409165037800
68_1,Éric Straumann,H,0.21901952666804700
68_1,Éric Straumann,H,0.21901952666804700
49_2,Maxence Henry,H,0.21897951562262300
49_2,Maxence Henry,H,0.21897951562262300
50_1,Philippe Gosselin,H,0.21884279413036600
50_1,Philippe Gosselin,H,0.21884279413036600
10_3,Gérard Menuel,H,0.21720468042570700
10_3,Gérard Menuel,H,0.21720468042570700
76_1,Jean-François Bures,H,0.21646658663465400
76_1,Jean-François Bures,H,0.21646658663465400
28_3,Laure de la Raudière,F,0.21643282931084600
54_2,Valérie Debord,F,0.21633899455241200
22_2,Didier Deru,H,0.21567680669563800
22_2,Didier Deru,H,0.21567680669563800
15_1,Vincent Descoeur,H,0.2155911369885170
15_1,Vincent Descoeur,H,0.2155911369885170
35_5,Isabelle Le Callennec,F,0.21519575392262800
78_9,Jean-Marie Tétart,H,0.21382211203654700
78_9,Jean-Marie Tétart,H,0.21382211203654700
67_1,Elsa Schalck,F,0.2138063887889240
44_2,Sébastien Pilard,H,0.21380214335100300
44_2,Sébastien Pilard,H,0.21380214335100300
45_3,Claude de Ganay,H,0.21359257685224500
45_3,Claude de Ganay,H,0.21359257685224500
71_1,Jean-Patrick Courtois,H,0.2133045910459460
71_1,Jean-Patrick Courtois,H,0.2133045910459460
13_1,Valérie Boyer,F,0.21294992961994800
67_7,Patrick Hetzel,H,0.21258337038683900
67_7,Patrick Hetzel,H,0.21258337038683900
75_8,Valérie Montandon,F,0.21243208834806300
83_8,Olivier Audibert-Troin,H,0.21210053728724800
83_8,Olivier Audibert-Troin,H,0.21210053728724800
71_2,Josiane Corneloup,F,0.2120158154643740
67_5,Antoine Herth,H,0.211019412118165
67_5,Antoine Herth,H,0.211019412118165
25_2,Ludovic Fagaut,H,0.21083386233051700
25_2,Ludovic Fagaut,H,0.21083386233051700
17_4,Loïc Girard,H,0.21082422047648200
17_4,Loïc Girard,H,0.21082422047648200
45_2,Serge Grouard,H,0.2107593502077820
45_2,Serge Grouard,H,0.2107593502077820
44_9,Claire Hugues,F,0.21045856632374600
01_2,Charles de la Verpillière,H,0.21020386323505800
01_2,Charles de la Verpillière,H,0.21020386323505800
44_10,Jérôme Guiho,H,0.21001383640005800
44_10,Jérôme Guiho,H,0.21001383640005800
33_2,Anne Valryck,F,0.20999031026913700
69_13,Philippe Meunier,H,0.20963799504950500
69_13,Philippe Meunier,H,0.20963799504950500
45_4,Jean-Pierre Door,H,0.20913960670726400
45_4,Jean-Pierre Door,H,0.20913960670726400
51_4,Benoist Apparu,H,0.20881820747356400
51_4,Benoist Apparu,H,0.20881820747356400
03_3,Gabriel Maquin,H,0.20866824010959100
03_3,Gabriel Maquin,H,0.20866824010959100
51_1,Arnaud Robinet,H,0.2084597113100680
51_1,Arnaud Robinet,H,0.2084597113100680
89_1,Guillaume Larrivé,H,0.2084319750163700
89_1,Guillaume Larrivé,H,0.2084319750163700
34_3,Catherine Dardé,F,0.20803256915170100
01_1,Xavier Breton,H,0.20742795500077100
01_1,Xavier Breton,H,0.20742795500077100
56_4,Marie-Hélène Herry,F,0.20703785160319500
83_2,Philippe Vitel,H,0.20679700826663200
83_2,Philippe Vitel,H,0.20679700826663200
39_2,Marie-Christine Dalloz,F,0.20676830676830700
83_6,Josette Pons,F,0.20637513568120000
77_1,Jean-Claude Mignon,H,0.20607288223041800
77_1,Jean-Claude Mignon,H,0.20607288223041800
95_4,Claude Bodin,H,0.206059980385072
95_4,Claude Bodin,H,0.206059980385072
57_2,Denis Jacquat,H,0.20490398102131600
57_2,Denis Jacquat,H,0.20490398102131600
91_4,Sandrine Gelot-Rateau,F,0.20368325527675200
42_6,Paul Salen,H,0.20360130440947100
42_6,Paul Salen,H,0.20360130440947100
52_1,Luc Chatel,H,0.20344506517690900
52_1,Luc Chatel,H,0.20344506517690900
05_2,Arnaud Murgia,H,0.20308377508290400
05_2,Arnaud Murgia,H,0.20308377508290400
37_4,Hervé Novelli,H,0.20278193700060200
37_4,Hervé Novelli,H,0.20278193700060200
76_10,Charles d’Anjou,H,0.20272787832940000
76_10,Charles d’Anjou,H,0.20272787832940000
67_3,Georges Schuler,H,0.20253384912959400
67_3,Georges Schuler,H,0.20253384912959400
13_5,Yves Moraine,H,0.20212154865392700
13_5,Yves Moraine,H,0.20212154865392700
37_2,Claude Greff,F,0.20204138314123000
84_2,Jean-Claude Bouchet,H,0.20175159476945900
84_2,Jean-Claude Bouchet,H,0.20175159476945900
26_1,Marlène Mourier,F,0.20120801619998600
27_1,Bruno Le Maire,H,0.20102341356023000
27_1,Bruno Le Maire,H,0.20102341356023000
69_1,Anne Lorne,F,0.20059669409235800
69_3,Nora Berra,F,0.20056199508254300
21_2,Rémi Delatte,H,0.19997040216064200
21_2,Rémi Delatte,H,0.19997040216064200
28_2,Olivier Marleix,H,0.1997485632183910
28_2,Olivier Marleix,H,0.1997485632183910
76_7,Agnès Firmin Le Bodo,F,0.19921898378119600
12_3,Arnaud Viala,H,0.1988982613186430
12_3,Arnaud Viala,H,0.1988982613186430
44_6,Alain Hunault,H,0.19860210243793300
44_6,Alain Hunault,H,0.19860210243793300
64_5,Sylvie Durruty,F,0.198455315490536
84_5,Julien Aubert,H,0.19833801026340700
84_5,Julien Aubert,H,0.19833801026340700
89_3,Marie-Louise Fort,F,0.19802171937612700
04_2,Sébastien Ginet,H,0.19769331688499900
04_2,Sébastien Ginet,H,0.19769331688499900
14_3,Sébastien Leclerc,H,0.19727924011913400
14_3,Sébastien Leclerc,H,0.19727924011913400
13_8,Sandra Dalbin,F,0.19719425563448700
36_1,Paulette Picard,F,0.1971485817423130
92_4,Camille Bedin,F,0.19681885223920600
70_1,Alain Chretien,H,0.19654135554692300
70_1,Alain Chretien,H,0.19654135554692300
45_5,Marianne Dubois,F,0.19631564476216700
43_2,Jean-Pierre Vigier,H,0.19611409806509800
43_2,Jean-Pierre Vigier,H,0.19611409806509800
57_4,Alain Marty,H,0.1955169287523060
57_4,Alain Marty,H,0.1955169287523060
69_11,Georges Fenech,H,0.1950194272756180
69_11,Georges Fenech,H,0.1950194272756180
84_4,Jean-François Perilhou,H,0.1948415475357390
84_4,Jean-François Perilhou,H,0.1948415475357390
42_5,Clothilde Robin,F,0.19483168990139400
71_3,Catherine Amiot,F,0.19407306615192300
974_1,Jean-Jacques Morel,H,0.1932979851537650
974_1,Jean-Jacques Morel,H,0.1932979851537650
13_10,Richard Mallié,H,0.1931996533064720
13_10,Richard Mallié,H,0.1931996533064720
88_3,Patrick Lagarde,H,0.19255979427289800
88_3,Patrick Lagarde,H,0.19255979427289800
36_2,Nicolas Forissier,H,0.1923649405327250
36_2,Nicolas Forissier,H,0.1923649405327250
75_7,Vincent Roger,H,0.1923052949792750
75_7,Vincent Roger,H,0.1923052949792750
35_2,Bertrand Plouvier,H,0.19226402435877600
35_2,Bertrand Plouvier,H,0.19226402435877600
22_3,Marc Le Fur,H,0.1922076844347320
22_3,Marc Le Fur,H,0.1922076844347320
16_2,Daniel Sauvaitre,H,0.19205655804763600
16_2,Daniel Sauvaitre,H,0.19205655804763600
93_8,Patrice Calmejane,H,0.1918911168464470
93_8,Patrice Calmejane,H,0.1918911168464470
44_5,Isabelle Grousseau,F,0.19178631669889300
27_2,Jean-Paul Legendre,H,0.1917234990656590
27_2,Jean-Paul Legendre,H,0.1917234990656590
32_2,Barbara Neto,F,0.19150172631866800
86_3,Enguerrand Delannoy,H,0.19138110072689500
86_3,Enguerrand Delannoy,H,0.19138110072689500
59_15,Jean-Pierre Bataille,H,0.1912157211639100
59_15,Jean-Pierre Bataille,H,0.1912157211639100
01_5,Damien Abad,H,0.19117263447124500
01_5,Damien Abad,H,0.19117263447124500
95_1,Philippe Houillon,H,0.1911430558775790
95_1,Philippe Houillon,H,0.1911430558775790
91_2,Franck Marlin,H,0.19102073630516700
91_2,Franck Marlin,H,0.19102073630516700
30_6,Richard Flandin,H,0.19101666264187400
30_6,Richard Flandin,H,0.19101666264187400
57_3,Marie-Jo Zimmermann,F,0.1906772894227870
89_2,Xavier Courtois,H,0.1906506523805410
89_2,Xavier Courtois,H,0.1906506523805410
56_3,Soizic Perrault,F,0.19062612091985200
95_2,Axel Poniatowski,H,0.19052318190941300
95_2,Axel Poniatowski,H,0.19052318190941300
07_2,Marc-Antoine Quenette,H,0.19043392902766000
07_2,Marc-Antoine Quenette,H,0.19043392902766000
95_3,Nicole Lanaspre,H,0.19016374977120100
95_3,Nicole Lanaspre,H,0.19016374977120100
78_11,Jean-Michel Fourgous,H,0.1898207056101790
78_11,Jean-Michel Fourgous,H,0.1898207056101790
82_1,Brigitte Bareges,F,0.189443881587165
29_4,Maël de Calan,H,0.1891960474072310
29_4,Maël de Calan,H,0.1891960474072310
93_12,Xavier Lemoine,H,0.18848382632762500
93_12,Xavier Lemoine,H,0.18848382632762500
27_5,Alexandre Rassaërt,H,0.18829894676092900
27_5,Alexandre Rassaërt,H,0.18829894676092900
73_3,Emilie Bonnivard,F,0.18813270873905600
30_3,Muriel Dherbecourt,F,0.18808802637574700
34_9,Stephan Rossignol,H,0.18797203232788800
34_9,Stephan Rossignol,H,0.18797203232788800
56_5,Marie-Claude Gaudin,F,0.18772533992983100
68_4,Michel Sordi,H,0.18769430537000700
68_4,Michel Sordi,H,0.18769430537000700
77_5,Franck Riester,H,0.18757242396424300
77_5,Franck Riester,H,0.18757242396424300
03_1,Pierre-André Perissol,H,0.18736045466407600
03_1,Pierre-André Perissol,H,0.18736045466407600
34_7,Gilles d'Ettore,H,0.18721925267886300
34_7,Gilles d'Ettore,H,0.18721925267886300
40_2,Sylviane Pacot,F,0.1870439181626900
19_2,Frédérique Meunier,F,0.18694444444444400
08_3,Jean-Luc Warsmann,H,0.18687840872633900
08_3,Jean-Luc Warsmann,H,0.18687840872633900
18_3,Louis Cosyns,H,0.18652778833726100
18_3,Louis Cosyns,H,0.18652778833726100
88_1,Stéphane Viry,H,0.1864808173760060
88_1,Stéphane Viry,H,0.1864808173760060
08_1,Bérengère Poletti,F,0.18647969120719600
55_2,Pierre Regent,H,0.1862819320369450
55_2,Pierre Regent,H,0.1862819320369450
25_1,Françoise Branget,F,0.18606459640209400
47_3,Jean-Louis Costes,H,0.18603274473986900
47_3,Jean-Louis Costes,H,0.18603274473986900
77_4,Christian Jacob,H,0.18587198394345300
77_4,Christian Jacob,H,0.18587198394345300
77_8,Chantal Brunel,F,0.18567574548689800
75_10,Sandrine Richard,F,0.18565369991225500
73_4,Alexandra Turnar,F,0.18521462639109700
60_6,Éric de Valroger,H,0.18520722129670600
60_6,Éric de Valroger,H,0.18520722129670600
91_9,Véronique Carantois,F,0.18491921005386000
39_1,Cyrille Brero,H,0.1846742699489010
39_1,Cyrille Brero,H,0.1846742699489010
81_3,Bernard Carayon,H,0.18457912540145800
81_3,Bernard Carayon,H,0.18457912540145800
14_6,Jean-Yves Cousin,H,0.184492048889473
14_6,Jean-Yves Cousin,H,0.184492048889473
17_3,Frédéric Neveu,H,0.18377216550241800
17_3,Frédéric Neveu,H,0.18377216550241800
66_1,Daniel Mach,H,0.18362465154825600
66_1,Daniel Mach,H,0.18362465154825600
62_1,Michel Petit,H,0.18352042204374200
62_1,Michel Petit,H,0.18352042204374200
67_2,Jean-Philippe Maurer,H,0.18342074867930200
67_2,Jean-Philippe Maurer,H,0.18342074867930200
57_5,Céleste Lett,F,0.18278159969823800
90_1,Ian Boucard,H,0.18258638480631400
90_1,Ian Boucard,H,0.18258638480631400
86_2,Olivier Chartier,H,0.18258436106862800
86_2,Olivier Chartier,H,0.18258436106862800
26_4,Emmanuelle Anthoine,H,0.18242284138378600
