code_circo,candidat,genre,LE PEN
38_5,Muriel BURGAZ,F,0.19501139403547000
76_7,Stéphanie FERRAND,F,0.19326410916272700
65_2,Olivier Monteil,H,0.19226706106063800
74_5,Anne-Françoise Abadie Parisi,F,0.1921470458065940
50_4,Jean-Jacques NOËL,H,0.19185007626934000
93_12,Jordan BARDELLA,H,0.19177045493859200
13_14,Nathalie CHEVILLARD,F,0.18985127992538100
50_2,Marie-Françoise KURDZIEL,F,0.18943781942078400
35_4,Christian LECHEVALIER,H,0.18941679741454500
48_1,Emmanuel GERSTNER,H,0.18894219785241000
80_2,Nicolas VERSAEN,H,0.1888027062119870
33_8,Laurent Lamara,H,0.1887938428727080
56_6,Yvan CHICHERY,H,0.18819678417837700
53_3,Monique MORAND,F,0.18811286084731500
95_2,Stéphane CAPDET,H,0.18806449454740100
74_4,Wenceslas LIARD,H,0.18667391200115100
01_3,Gaëtan Noblet,H,0.18626188072276600
32_1,Nathalie PIERREISNARD,F,0.18618409026704600
85_2,Gabriel de Chabot,H,0.18593286680109100
87_3,Vincent GÉRARD,H,0.18449473862603400
87_2,Joëlle Crepet,F,0.1843052277212400
44_9,Jean-Luc JAVEL,H,0.18405470254461600
77_11,Jean-Marie LAUNAY,H,0.18253419081732300
73_4,Isabelle FÉTU,F,0.18085988802101300
59_2,Véronique DESCAMPS,F,0.18013543321661600
16_1,Geoffray Gourré,H,0.17948758376034700
85_1,Catherine ROY,F,0.17930734579189200
65_1,Geneviève COMONT,F,0.1791497680389810
95_3,Fabienne DAUMAS,F,0.17908283232192400
59_4,Julien FRANQUET,F,0.1772583077643140
87_1,Nathalie GÉRARD,F,0.17692261056715900
69_10,Agnès MARION,F,0.17672761320190400
13_2,Caroline SICARD,F,0.17654251468103900
74_1,Brigitte THIERY-AUDUBERT,F,0.17639092512983600
72_1,Marie GENEVREY,F,0.1760727410755880
22_4,Catherine BLEIN,F,0.17436550588673900
69_7,Jean-Marie NICOLAS,H,0.17420965416317000
31_6,Michèle PELLIZZON,F,0.17404966612839900
22_2,Odile de MELLON,F,0.17325954264631200
14_2,Sabrina Joret,F,0.17298243632461700
91_7,Audrey GUIBERT,F,0.1724408886349030
46_1,Emmanuel CRENNE,H,0.1720945639666660
63_4,Sylwia Powarunas,F,0.1716219889459850
91_4,Franck BEELDENS-DA SILVA,H,0.16975719960908200
54_1,Barbara HOFFMANN,F,0.169697067823778
56_2,Eric FORDOS,H,0.16889835666463800
91_10,Lucie DEDI,F,0.16889595677936600
42_2,Pascal Arrighi,H,0.1686131386861310
94_3,Dominique BOURSE-PROVENCE,H,0.16855061083617900
86_1,Arnaud Fage,H,0.16765935467209000
29_8,Mikaël Caréo,H,0.16720641363328900
64_3,Lucinda CARVALHO,F,0.16680361544782300
91_9,Thiebauld VEGA,H,0.16646448962427400
77_8,Aurélie COURNET,F,0.16542777602387900
49_6,Bernadette de LA BOURDONNAYE,F,0.1645442746816410
93_5,Jean-François PERIER,H,0.16423366215994600
44_8,Gauthier Bouchet,H,0.16397059919788900
74_2,Vincent Lecaillon,H,0.16236147598917100
49_7,Aurore LAHONDÈS,F,0.16123901609398100
53_1,Bruno de LA MORINIÈRE,H,0.1607495741056220
44_7,Doris NOËL,F,0.16012749147064100
91_1,Danielle OGER,F,0.15957363583023700
53_2,Sylviane DEGÉ,F,0.15916020284039700
77_10,Véronique Fornilli Rata,F,0.15859741296179300
93_8,Alexandra BOURGOIN,F,0.15825116361149700
45_1,Colette Poltaratsky,F,0.1576967881511070
67_2,Julia Abraham,F,0.15685531971294900
78_7,Victoria KOSTIAEVA,F,0.15616329766151400
64_2,Joseph DAMOUR,H,0.15508885298869100
59_1,Eric DILLIES,H,0.15464333781965000
63_1,Anne BISCOS,F,0.15462179424829000
95_7,Bruno MARCEL,H,0.15265419423530300
31_9,Éloïse Teriitaumihau,F,0.15159613713498700
95_10,Suzanne KREBS,F,0.15140589751853000
93_4,Gilles CLAVEL,H,0.15107195872776400
95_5,Pierre RENUCCI,H,0.1509073931224880
971_2,Stéphan VIENNET,H,0.15044874063113200
54_2,Grégoire EURY,H,0.15023279485777800
46_2,Virginie CASTAGNOL,F,0.14960600445467600
95_4,Olivia NALPAS,F,0.14912507097506800
94_4,Jérôme AUVRAY,H,0.1484493093562680
56_5,Christian MOUTON,H,0.148421205801038
95_8,Tifanny ALLEAU,F,0.14836223506743700
22_5,Annick Lebiez,F,0.14518504553970100
93_10,Maurice Puisard,H,0.14462386930999200
49_5,Lucie PINEAU,F,0.14452068032470000
22_1,Pierre-Yves LOPIN,H,0.14312065524124200
93_3,Patrice VELLA,H,0.1413504384073600
64_1,Claudie Cheyroux,F,0.14061303397650200
78_10,François LE HOT,H,0.140561592722717
79_1,Martine GENDRY,F,0.1398428859079440
69_12,Muriel Coativy,F,0.13881698782475300
59_9,Valérie TALPAERT,F,0.1382690515031460
86_2,Pascale Bordin,H,0.13466857570531400
64_5,Jean-Michel Iratchet,H,0.1341028568207120
95_6,Jean-Michel DUBOIS,H,0.13330663834676800
69_5,Cécile BÈNE,F,0.13229758600142400
49_1,Marie BARON,F,0.13166125435852900
69_6,Stéphane PONCET,H,0.13102684935182500
94_9,François PARADOL,H,0.12975294835298900
91_8,Benjamin BOUCHER,H,0.1296022093932490
56_1,Bertrand IRAGNE,H,0.12921458254193
971_3,Jean-Pierre MERCADAL,H,0.12778406946017400
91_6,Nathalie PAULIN,F,0.12776630274417200
63_3,Anne-Marie CARTA,F,0.12663466789296700
78_12,Jean-Luc GALLAIS,H,0.1250476000507730
94_7,Karine HACCART,F,0.12137823022709500
78_11,Mathilde ANDROUËT,F,0.12091767881241600
94_2,Gaétan Marzo,H,0.12074673147837700
76_1,Thomas MARCY,H,0.11990796318527400
44_5,David BOISDRON,H,0.11972888468342500
64_4,Gilles HUSTAIX,H,0.11793892532360800
92_1,Tommy ANOU,F,0.11519373289119400
69_1,Tiffany JONCOUR,F,0.1147061003632050
64_6,Sylviane BUTTIGIEG,F,0.11469292562840100
33_3,Bruno PALUTEAU,H,0.1134319081422360
93_2,Estelle ARNAL,F,0.11295193718181000
93_9,Huguette FATNA,F,0.11250912102865500
94_5,Isabelle HUGUENIN-RICHARD,F,0.10734122902401000
94_8,Marie-Odile ENON,F,0.10634470464306000
78_2,Yasmine BENZELMAT,F,0.10586271236374300
78_6,Didier ROUXEL,H,0.10486491976437100
93_6,Line VALLÈS,F,0.10471290615456600
94_11,Alexandre GABORIT,H,0.10437775626546200
94_10,Martine BLANLUETTE,F,0.10311696789196700
94_10,Martine BLANLUETTE,F,0.10311696789196700
94_1,Thierry Devige,H,0.09998078429633570
78_5,Laurence BAUDRILLARD,F,0.09831912635650950
999_10,Stéphane Sakoschek,H,0.09818204457726310
999_5,Natacha BARRAL,F,0.09790270145861500
67_1,Andréa DIDELOT,F,0.09741950506996340
67_1,Andréa DIDELOT,F,0.09741950506996340
92_4,Laurent Salles,H,0.09551823545186380
92_12,Damien YVENAT,H,0.09526873935835040
78_4,Marie-Jo RENAUDIN,F,0.09311407057066400
31_4,Maïthé CARSALADE,F,0.09152661474497860
78_3,Stéphanie de GONNEVILLE,F,0.09058541393870740
69_3,Pierre DELACROIX,H,0.09007727432384970
78_1,Thierry PEREZ,H,0.08954458173929610
93_7,Sébastien JOLIVET,H,0.08813916327716440
92_11,Julia CARRASCO,F,0.08664469156373380
69_4,Edith GODECKE,F,0.08362124220301090
999_6,Jean-Claude Marchand,H,0.08079242817860020
91_5,Milvia Mangano,F,0.0791644349223353
92_5,Geoffroy RONDEPIERRE,H,0.07346889162860960
92_3,Floriane DENIAU,F,0.07277081236081880
92_7,Lucia LAPORTE,F,0.07250345820117650
999_8,Nathalie Jorge-Laick,F,0.07227861393069650
92_13,Michel GEORGET,H,0.07162169618716550
94_6,Gorete DE FREITAS,F,0.07084671955174570
999_2,Jean-Marc Millet,H,0.06968352067692560
69_2,David TABELION,H,0.06900020116676720
92_2,Aurélie LE GOURLAY,F,0.06885352976395670
999_11,Sébastien Cochard,H,0.06799528725762330
92_8,Marc THOMAS,H,0.06712266461409280
75_10,Tiphaine LEOST,F,0.06670444574436970
75_9,Corinne BERTHAUD,F,0.066609105462918
92_10,Anne-Laure MALEYRE,F,0.06637451069072530
999_4,Soraya LEMAIRE,F,0.06614022140221400
92_6,Emmanuelle CUIGNET,F,0.06466093600764090
75_8,Annie VIGUIER,F,0.06233808529851520
75_15,Christophe VERSINI,H,0.06171267978178210
75_17,Vanessa LANCELOT,F,0.06110035311538900
999_1,Denis FRANCESKIN,H,0.05994168512470120
75_13,Wallerand de SAINT-JUST,H,0.05851743072404550
75_16,Michel BULTÉ,H,0.05705137534565570
75_3,Aurélien Legrand,H,0.052931061989257800
92_9,Nina SMARANDI,F,0.048827980120169100
75_18,Michelle THIMOTTE,F,0.04730241107146720
75_6,Guy DEBALLE,H,0.04559217236104030
75_12,Agnès VANDENBROUCK,F,0.045106099322297500
75_14,Armelle GOASGUEN,F,0.04162866449511400
75_4,Eve FROGER,F,0.04149272398465360
75_7,Isabelle COCHARD,F,0.04137189516003370
75_11,Elisabeth BASTON,F,0.041371099756932400
999_7,Jean-Pierre Hottinger,H,0.040730624152219600
75_5,Marie FONTAINE,F,0.03844998498047460
75_2,Manon BOUQUIN,F,0.03819871753351900
999_3,Tony Thommes,H,0.03147645705258100
