code_circo,TG,SG,Titulaire,Suppléant,MÉLENCHON
44_3,F,H,Martine Gourdon,Pierre Haie,0.2651680458918303
44_8,H,F,Lionel  Debraye,Sabrina TOUPLAIN,0.2650395837371222
69_6,H,F,Laurent Legendre,Céline Fratczak,0.2648208086669238
54_3,H,,Patrice Zolfo, ,0.26479981174572226
92_4,F,H,Rossana Morain,Mhamed Kaki,0.26479954411370343
78_8,H,,Majid Eddaïkhane, ,0.2634900193174501
974_7,H,F,Perceval GAILLARD,Sandra Gence,0.2623193775472397
44_4,H,F,Vincent EGRON,Catherine Chastan,0.26219054763690924
77_10,H,F,Maxime Laisney,Françoise Godin,0.261064742460014
59_16,F,H,Marina Dabonneville,Raphaël Brice,0.2609258031657747
84_1,F,H,Amandine Laugier,Vincent Delahaye,0.26010157176749704
76_4,F,H,Laura THIEBLEMONT,Bruno Guilliot,0.25850614353324075
38_2,F,F,Taha Bouhafs,Valérie Neyreneuf,0.2581624254064065
69_2,F,H,Eleni Ferlet,Basile Marti,0.2579628512036478
09_2,H,F,Michel Larive,Ingrid Lavoine,0.2565457999504419
33_4,F,H,Maud Besson,Eric BAREYT,0.25478971290489616
95_9,F,H,Rabha Belbachir,Christian Guéry,0.25452157822479554
44_2,F,H,Carole Malard,Gilles Dagorne,0.2542348467388799
94_3,H,F,Nicolas Georges,Jocelyne Pigrée,0.25410419824327535
93_3,F,H,Dominique Delaunay,Mathieu Vallet,0.252928704901538
07_3,H,F,Alain JOFFRE,Florence Pallot,0.25264473001038423
57_8,H,F,Lionel Burriello,Céline Léger,0.25147691070489625
13_5,H,F,Hendrik Davi,Anne Mandine,0.2506988856125302
14_2,H,,ETIENNE BRASSELET, ,0.2505035673274223
62_3,H,F,Djordje Kuzmanovic,Lynda Kebbas,0.2503769503081159
24_1,F,,Hélène Reys, ,0.25008830801836807
31_2,F,H,Anne Stambach-Terrenoir,Romain BARTHES,0.24885673158987553
67_1,H,F,Jean-Marie Brom,Martine Kremmel,0.2481635936408476
69_3,H,F,Pascal Le Brun,Nicole BEN AYOUN,0.24710221285563752
75_9,H,F,Raphaël Qnouch,Agnès Falabrègues,0.24639792779666506
59_13,H,,Elio Berte-Langereau, ,0.2463472281908036
971_2,H,F,Michel Tola,Christèle Roussel,0.24527937723164023
75_18,H,F,Paul Vannier,Sabrina Ali Benali,0.24424262082387285
33_2,F,,Aude Darchy, ,0.24410211789831715
13_3,F,H,SARAH SOILIHI,Raymond Lopez,0.24363430298451078
93_8,H,F,Maxence Albespy,MAGALI TURLURE,0.24300178677784395
63_1,H,F,Alain Laffont,Naïs Sabatier,0.24253477288201536
93_12,H,,Juan Branco, ,0.24221587960560456
42_2,F,H,Andrée TAURINYA,Bruno DOLIK,0.2415276329509906
94_7,H,,Kévin DALLA FRANCESCA, ,0.24082886573098006
35_8,F,,Enora Le Pape, ,0.23995449979318087
974_3,F,H,Virginie Grondin,Pascal Basse,0.2390561274033793
34_8,F,H,Martine - Marielle Monfort,Jean-Marie Pourtier,0.23889852558542932
22_4,F,H,Murielle LEPVRAUD,Henri DUCLUT,0.23877791929421266
65_1,F,H,Sylvie FERRER,Manuel MOUTOUSSAMY,0.23826335599451462
37_1,H,F,Claude Bourdin,Inès Yamba-Tambikissa,0.23800719863108
34_4,H,,Etienne Hayem, ,0.23788570485671856
76_7,H,F,Gérald Maniable,Veronica Petitjean,0.23782093482554312
59_19,H,F,Julien Poix,Françoise Dupont Cunin,0.2376274390655594
24_4,F,H,Emilie Chalard,Luis Ferreyra,0.23752407386428004
34_5,H,F,Serge Azaïs,Anne Roux,0.23703901300433478
46_1,F,H,Isabelle Eymes,Merzouk SIDER,0.23569510791868614
69_1,H,F,Elliott Aubin,Michèle LE DILY,0.2355088577570232
76_1,H,F,Lionel Descamps,SYLVIE Glabik,0.23545418167266907
974_6,H,F,Pascal Hoareau,Marie-Josianne Lagrange,0.23431251542828932
91_7,F,H,Mounia Benaili,Vivien Rebière,0.23396314022430173
46_2,H,F,Pierre Dufour,CHANTAL GRIN,0.2338705149081925
33_7,F,,Johanne Sebaux, ,0.23373890167707992
87_1,F,H,Danielle Soury,Rémy Cholat,0.23350207644972568
63_4,F,,CATHERINE MOLLET, ,0.23309214698991676
60_3,F,H,Karine Monségu,Guy Friadt,0.233087286799484
75_10,F,H,Leila Chaibi,Philippe Navarre,0.23245100906697866
34_1,H,F,Julien Colet,Anne-Rose Le Van,0.23172761279486984
971_4,H,F,Guilhem SALTEL,Nice Cambronne,0.23148418288667527
62_11,H,F,Jean-Pierre CARPENTIER,Marie-Françoise Gonzales,0.23126279666637828
81_2,H,F,Thomas Domenech,Roxana Farina Concha,0.22976249323258716
04_2,H,F,Laurent WALTER,Evelyne BLANC,0.22931719830033875
75_5,F,H,Layla Yakoub,Emmanuel Olivard,0.22883432673001217
35_1,H,F,Patrick Bergogné,caroline Frydman,0.22882559305045105
67_2,F,H,Christine Kaidi,Jimmy Brunet,0.22837180239713706
30_4,F,H,Lucie Rousselou,Thomas Champigny,0.2281692491723927
59_11,H,F,Sébastien Polveche,Marie-Pierre Choquel,0.22764061059317692
66_3,H,F,Philippe Assens,Zoé Salmeron,0.22746625457297842
91_6,H,F,Philippe Juraver,Cécile MUNCH,0.22743861719805564
33_9,H,,François Papiaud, ,0.22728713289668287
26_3,H,F,Didier Thévenieau,Hélène Lacheret,0.22728647190174917
54_6,F,H,Caroline Fiat,Marc Didier,0.22720644608469506
13_16,H,,Gérard GERON, ,0.22714915293040294
42_1,F,H,Corinne OUMAKHLOUF,DAVID JAMONAC,0.2267730203339395
974_5,F,,Denise Delavanne, ,0.2267592149353758
31_7,H,F,Christophe BEX,Lauren Baron,0.22620935765265662
18_2,F,H,Souade Kastani,Thierry Lopez,0.2261065093306171
59_20,H,F,David Richer,Christine Dufner,0.22500779652794622
974_4,F,H,Corine Bédier,Didier Migneau,0.22490795581879303
86_1,F,H,Céline Cuvillier,Kioumars Thomas SAHABI,0.22488015108227205
05_2,F,H,Audrey Vincent-Nedelec,Christophe Tassaux,0.22433616537167478
24_3,H,,Philippe Guillerme, ,0.22420040672952488
19_1,H,F,Jean-Marc Vareille,Lucrèce Lachenardière,0.22403347189393322
86_2,H,F,Frédéric Abrachkoff,Cécile THOBIE,0.22402460056620352
31_6,F,F,Patrick Jimena,Nadine STOLL,0.22398856544319817
03_2,H,F,Sylvain Bourdier,Emmanuelle Michon,0.22377036216985607
07_1,H,F,Paul Raoul,Luisa Sanchez,0.22371221796509153
16_1,F,H,Martine Boutin,Daniel GAUTIER,0.22306661411115492
59_17,H,F,François Guiffard,Claudine AUGUSTE,0.2221138739910071
65_2,F,H,Charles Rocheteau,Marie-josé Crémades Sanchez,0.22202972040284527
91_9,F,,ANNE JOURNEL, ,0.22158603846216055
77_7,H,F,Grégory Jurado,Ersilia Soudais,0.22126574685062989
87_2,H,F,Hubert Hurard,Marie Labat,0.22119464974396677
04_1,F,H,Emmanuelle Gaziello,Eric Vuoso,0.22072609160430887
12_2,H,F,Pascal Mazet,Céline Hebeisen,0.22054158676678792
73_4,F,H,Tifen Ducharne,Hugues Grimberg,0.21943042787032557
33_12,H,,Christophe Miqueu, ,0.21940446723680504
11_3,F,H,Manon LE BRETTON,Jean-Didier Carré,0.21881681107235287
67_3,F,H,Floriane DUPRE,Sébastien MAS,0.2182011605415861
31_5,F,H,SYLVIE ESPAGNOLLE-LABRUNE,Olivier Doumerg,0.21809286120240184
29_2,H,F,Pierre-Yves Cadalen,Cécile Beaudouin,0.2178279134378818
78_11,H,,Mathurin Levis, ,0.2173896279159437
34_9,F,H,IMANE DIANI,Jean-Luc MOULETTE,0.21721662488126198
30_1,F,H,Yannick Battefort,Mohammed El Marouani,0.21718783563997912
63_5,F,,Sara Perret, ,0.21619573317839053
95_7,H,F,Gilles Monsillon,Marie Laure Joëlle Olmeta,0.2160810708038634
14_1,F,H,Karinne GUALBERT,Alexandre Besselievre,0.21597003639944434
87_3,H,F,Pierre-Edouard Pialat,Patricia Marcoux Lestieux,0.2156007826582649
59_7,H,F,Yann Merlevède,Sophie Leblanc,0.2155928117466579
38_5,H,F,Patrice BRUN,Marine Haurillon,0.21553304270286336
33_6,F,H,Marie Duret-Pujol,Grégory Teychon,0.21500163614548362
31_8,H,F,Philippe GIMENEZ,Sophie Lechat,0.2146551336441453
63_2,H,,Pascal Estier, ,0.21459370780644318
66_4,F,H,Dominique-Christiane Guerin,Jérôme Pous,0.21457243160892892
11_1,F,,Marine Toro, ,0.21448467966573817
66_1,H,F,Alain Mih,Carole Gohier,0.21434491072101258
95_6,H,F,Serge Grossvak,Johanne Labellé,0.21414021831856403
59_10,F,H,Adélie Cormont,Maurice Devloo,0.21410265290572833
79_1,F,H,Nathalie SEGUIN,Karine Olivier,0.21367800119111766
08_2,H,F,Michel Cartiaux,Marie-Corinne GILLET née DOLEZ,0.21352839120097672
75_8,H,F,Clément Bony,Raquel Garrido,0.21349794969726577
31_10,F,H,Monique Fabre,Kévin Grenèche,0.21331595258005803
22_1,F,H,Marion Gorgiard,Philippe Guégan,0.21321494941152178
34_3,H,F,Stéphane VIDAL,Marie MONCADA,0.21305653404169314
38_4,H,F,Laurent Viallard,Françoise Meynier,0.21282583359390544
59_21,F,H,Ophélie Tricot,Rossano Pulpito,0.21250082852787167
25_1,F,H,Habiba Delacour,José Gahona,0.21243541223840876
11_2,H,F,Jean-Hugues SILBERMAN,NADINE SANCHEZ,0.21212076561510013
94_5,F,H,Raphaëlle Martinez,Jeremy Boucher,0.21200811120580715
95_3,,H,,Sébastien Davignon,0.2117905467243006
95_2,F,H,Sylvie Geoffroy-Martin,Elliott Bareau,0.21176490265605138
77_8,F,H,Julia Killian,Sylvain Beaulieu,0.211635048646787
17_2,F,H,Maud Assila,Christophe Geffré,0.21111846459298478
23_1,F,H,Laurence Pache,Laurent Sauvajon,0.211057493843504
17_1,H,F,Cédric Ruffié,Yhlem Dekkiche,0.21087879777850377
77_6,F,H,Valérie Delage,Alban Corbin,0.21059448688143473
64_5,H,F,Jérémy Farge,Patricia Leuenberger,0.20999816780122052
50_4,F,H,Yvonne Pecoraro,André JACQUES,0.20992227791094648
77_3,F,,Chantal Thomas, ,0.20978665763630205
40_2,F,H,Caroline Dacharry,Bertrand Lataillade,0.20973049200877467
30_6,F,H,Karine VOINCHET,Arnaud VALENTIN,0.20949851082669244
33_5,F,,Martine Calvo, ,0.20949768558203327
39_1,H,F,Gabriel Amard,Géraldine Revy,0.2091550253550681
05_1,F,H,Eléonore Flandin,Rémy Bretton,0.20888323760249047
16_3,F,,Véronique Bachelier Gregori, ,0.20884118353223644
13_9,F,H,Sylvie Pille-Lesou,Eric Remen,0.2088106424536768
80_2,H,F,Cédric Maisse,Brigitte Devauchelle,0.20879177202214175
29_4,H,F,Julien Kerguillec,Diane CHEVAIS,0.20875003731677463
31_3,H,F,Gilles Naudy,Agathe Roby,0.2084821851980652
64_3,H,F,Eric Lytwyn,Julie Ledemé,0.20822301348184669
62_5,H,,Alain Berthault, ,0.20807591120044933
54_1,H,F,Nordine Jouira,Catherine Cluzeau,0.20803717436005376
44_1,F,H,Sylvie Clabecq,Ali LOTF,0.20738006158328642
22_5,F,H,Marie-Amélie Troadec,Romain Hipeau,0.2071143264483746
24_2,H,,Pascal Dumeste,Chrystel Boutillier,0.20702368596347187
44_5,F,H,Katell ANDROMAQUE,Mathias Gauthier,0.2069774139136874
60_7,F,H,Marie-Laure Darrigade,Cédric Dufourt,0.206790702433534
76_9,H,F,Rachid Chebli,Carole Soter,0.20655850332945777
64_1,F,,Séverine Ghedjati, ,0.20624988325830734
91_8,F,H,Mai-Ly Khan,Jérôme Flament,0.2061989452143677
21_3,H,,Boris Obama, ,0.20619718309859156
75_7,H,,Jean-Charles Lallemand, ,0.2061738398728457
95_4,F,H,Cathy Pinheiro,Brice Errandonea,0.20612880469381786
95_1,F,,Leïla Saïb, ,0.2059664579952083
32_1,H,F,Pascal Penetro,Sophie Buys,0.20585938149126742
57_1,F,H,Narjès Chouikha,François Fauve,0.20545430514149765
39_3,H,F,Jean-Bernard Marcuzzi,Claudine Roueff,0.20527276044517423
59_3,H,,Aurélien Motte, ,0.20512592724203793
76_5,F,H,Myriam Mulot,Yann Beux,0.20502525749524372
91_3,F,H,Virginie Araujo,Vincent Vergeron,0.20461494610281925
38_1,F,H,Caroline Schreiber,Tristan Sanchez,0.20460522292214545
26_1,F,,Karine Messina, ,0.20452482368549682
79_2,H,F,Yannick Maillou,Jocelyne Bénard,0.20452415660141607
25_2,F,H,Claire Arnoux,Daniel CONVERSY,0.20429057408402104
77_1,F,F,Bénédicte Monville-De Cecco,Fatiya Ammad-Mothay,0.20391355028568153
03_1,H,F,Frédéric Desnoix,Michelle Kapala,0.20359845738974106
34_7,F,H,Marie-Hélène LECLERCQ,Arnaud CAMBON,0.20358101834424955
29_7,H,,Roland JAOUEN, ,0.20345818653810496
90_2,H,F,Laurent Soler,Anastasia Sivan,0.2030125710446006
72_2,H,F,Matthias Tavel,Alima Arouali,0.20254957507082152
58_1,F,H,Marie-Claude Taurel,Martin Boutet,0.20236200982992114
29_8,H,F,Emmanuel Magnan,Annie Perron,0.20223959008017042
35_4,F,H,Alexandra Vandenbossche,Marc Martin,0.202236794464336
75_3,H,F,Laurent Levard,Natalie DEPRAZ,0.20211653342314714
62_12,H,,Grégory Frackowiack, ,0.2014567218113037
44_9,F,H,Liliane Vaillant,Jean-Marie Cosson,0.20132431235647275
29_6,H,F,Jean Michel LUCAS,Lauriane Feyeux,0.2011917570139866
35_3,F,,Virginie Abautret, ,0.20116863780655672
33_11,H,H,Joëlle Losson,Rémi Lebas de Lacour,0.20059017483583164
12_3,F,H,Catherine LAUR,Théo Ollivier--Triquet,0.20051644000688587
38_9,F,H,Marie-Pierre MICOUD,Christian Toillier,0.20035988832876858
17_3,H,F,Rémy Catrou,Maryvonne Filipovitch,0.20022442077314537
94_6,F,H,Stéphanie Michel,Vianney Orjebin,0.19996345752698813
62_7,H,F,Jean-Philippe Lannoy,Anne-Sophie LIGNIERT,0.19981648169186403
71_5,F,H,Laura Léger,Eric Riboulet,0.19971851652218178
94_4,F,H,Nathalie Lemaire,Martial Prouheze,0.19958300755798802
40_3,H,F,Philippe DUBOURG,Josette Boulanger,0.19931210191082802
57_6,H,,Jonathan Outomuro, ,0.19911405522930933
13_6,F,H,Annie Gal,Mikaël Balmont,0.19892900694554902
35_2,H,F,Louis Fricker,Sabine ANQUETIL-LELEU,0.19892140166176395
77_9,,,Delphine Heuclin, ,0.19856056119892498
44_6,F,,Brigitte Maillet, ,0.1978528293446656
56_5,H,F,Alexandre Scheuer,Marie-Lise Lepez,0.19771709430728687
48_1,H,F,Christian CAUSSE,Claude Soudan,0.1969593121066733
37_4,F,,Nadia Vezin, ,0.19662473237150332
81_3,F,H,Maud Forgeot,Noël Mira,0.1963145233181502
64_4,H,F,Didier Bayens,Marie-Bérengère Agras,0.19607444160966678
13_14,F,H,Hélène Le Cacheux,Jean-Yves Salvat,0.19599181262306975
36_1,F,H,Corinne Keller,Jean-Baptiste Auger,0.19574108724809988
42_4,H,F,Léo CHAVAS,Joëlle de Alamo,0.19564523745708415
49_2,F,H,Tiphaine Prier,Sofian Naït-Bouda,0.1955628708557518
44_10,F,H,Gaëlle Cardona,Guilhem Bato,0.19505193812857527
63_3,H,F,Marc Chovin,Stéphanie Burias,0.19473744718765268
40_1,F,H,Céline PIOT,stéphane BECART-PERRIER,0.1945397601786806
13_1,H,F,Bernard Borgialli,Marie-Hélène RICE,0.19453381593940614
59_12,H,F,Laurent Courtois,Marine Desrousseaux,0.19448022079116836
47_3,H,F,Rémy GARNIER,Anne Colas,0.19443880657600973
56_6,H,F,DAVID Guillemet,Gaëlle Chammings Brulon,0.19430520174213164
38_10,H,F,Thierry Monchatre-Jacquot,Véronique Chouvy,0.19343587157505462
82_1,F,H,Marie-Lyne Nadal,Jean-Claude Madaule,0.19324663789155205
33_1,F,H,Evelyne Cervantes,WILLIAM VANDELANNOOTE,0.1926270161564279
19_2,F,H,Selin Ersoy,Roland Rupage,0.19258333333333333
66_2,F,H,Catherine DAVID,Jean-Noël Clanet,0.19239511190737224
39_2,F,H,Julie Lançon,Bruno Ragot,0.1920766920766921
13_10,H,F,Jacques Charton,Michelle Blanchard,0.1920518166272342
59_5,F,,Lucile Caplier, ,0.19135403600795672
34_6,H,,David Garcia, ,0.19125032283984275
13_12,H,F,Damien Merono,Nathalie MICHELUCCI epouse CHABRAND,0.19122883562511436
91_5,H,F,Sylvère Cala,Frédérique Dumont,0.19050169612569184
43_2,H,F,Lionel Bouton,Nicole Riou,0.19038343903930974
91_2,H,F,Michaël Goasdoué,Maële Vincensini,0.1903138168108228
47_1,F,,Céline Boussié, ,0.19030033755517728
84_5,H,F,Stéphane CHOTARD,Annie Roiron,0.18988852886001767
92_12,H,F,Victor Germain,Madeleine Bahloul,0.18978669777044874
37_3,F,H,Sylvie Adolphe,Jean-Marie BONNET,0.18960616613745776
33_10,F,H,Eloïse Bajou,Clément Brun,0.18930280891799975
54_2,F,H,Nassima Faiq,Matthieu Ziegler,0.18874290776799682
64_2,H,,Thierry Moutou, ,0.18843979122654406
30_2,F,H,Danielle FLOUTIER,Benoît Ode,0.18838668032499334
78_9,F,F,Marie-Anne Moynacq,Elena Petrova,0.18829215298476282
64_6,F,H,Christine Labrousse,BENITO ZUBELDIA (suppléant de Christine LABROUSSE),0.18811868359678674
62_8,H,F,CASIMIR LETELLIER,Hélène Roche,0.18805782526712758
21_2,H,F,Patricia Marc,SYLVAINE AMALRIC,0.1880387731695586
13_11,F,H,Claudie HUBERT,Guillaume DALLA COSTA,0.18793088651772177
92_2,H,F,Nino Schillaci,Véronique Haab,0.187873070014696
28_2,H,,Jean-Michel DEJENNE, ,0.18780531609195403
47_2,H,F,Youssef Sadir,Magaly Castagnier,0.18765734729031402
86_3,F,H,Marie-josé Cellot,Rodolphe CACAULT,0.18759086188992732
94_1,H,F,Thierry N'kaoua,Claire Giardelli,0.18745657990037395
62_2,F,H,Caroline Delplace,Philippe Audegond,0.18735279740479047
29_3,F,H,Christine Panaget,Bertrand SEYS,0.18708586511231476
81_1,F,H,Tinhinane Hadji,Daniel Caors,0.18678066425517922
92_5,H,F,Aissa Terchi,Sophie Hermange,0.1867717793328587
78_7,F,H,Estelle Andrin,Paul Deboutin,0.18646056282203727
13_8,F,,Nadia GRAINDORGE, ,0.18620636786426126
82_2,H,F,Ivan Jacquemard,Céline Tainturier,0.18618558356076417
86_4,,,Aurélie Saulnier, ,0.18603787597474936
42_3,H,F,LOUIS CAILLON,Michelle Verrier,0.18598222465084135
36_2,H,F,Marie-Lionel THURA,Sophie Winandy,0.18594332534766028
94_8,H,F,Renaud Pequignot,Amélie Bellaud,0.1859330686330119
37_2,H,,Frédéric Nobileau, ,0.1858769615331204
69_11,H,H,Christine Valentin,Fabrice NOTO,0.1856030751787171
30_3,F,H,Geneviève Sabathé,Charlotte Montels,0.18543436888519582
49_1,F,H,Manon Cantin,William Duménil,0.18514583302156443
26_2,F,H,Rachel Mahé,gilles reynaud,0.18514426371659137
77_5,F,H,Mounia Charaf,Patrice Meillier,0.1845625968788093
59_9,F,H,Ninon VAN ISTERDAEL,Jean-Louis Van-de-Wiele,0.18380039617804708
18_3,H,H,Jean Riffet,Patricia Guéhenneux,0.18371474188398085
07_2,F,H,Samia HASNAOUI,Jacques Deplace,0.1834953675689486
62_9,H,,Bruno Debout, ,0.18304331608906477
32_2,F,H,Myriam Rimbert,Richard Tancogne,0.18290431750589684
91_4,H,F,Bernard Terris,Christine Duval,0.18269047709705669
16_2,F,H,Nathalie Jabli,Grégoire Feybesse,0.18245527376009138
22_2,H,F,Didier GIFFRAIN,ANDREE  CLAIRE BAZIN,0.1823595686463866
26_4,F,H,Emmanuelle OULD AOUDIA,Jean-Bernard SUCHEL,0.18235524732665503
73_3,H,,Alexandre Roux, ,0.18223766163131394
29_1,F,H,Jugdeep Harvinder,Benjamin Toutant,0.18215598091372787
58_2,F,H,Marie-Anne Guillemain-Boudon,Olivier Lemoine,0.182155609847773
02_4,H,F,Régis POMMEROLLE,SYLVIE HEYVAERTS,0.18207520018960877
21_1,H,F,Arnaud Guvenatam,Natacha Camus,0.18155059323727674
72_4,F,H,Pascale Fromentière,Eric Jamet,0.1812919476212081
59_4,H,F,Jean-Pierre HOUBRON,Cassandre Defosse,0.1810806594206667
73_2,H,F,Yamen Adissa,Viviane NOGUES,0.18096322755431313
14_6,H,F,Paul Demeilliers,Annie Lepinette,0.18074648442633723
84_2,H,F,Laurent Thérond,Aurélia MARIE-SAINTE,0.18034153067563677
01_5,H,F,Bertrand Jacquier,Nora Kerzazi,0.180338417126063
84_3,F,H,Laurence Cermolacce-Boissier,José Robert,0.18024641622184173
18_1,H,F,Frederic Renard,Corinne Trussardi,0.1793932768515988
69_4,F,H,Anne Fontenille,Julien Ravello,0.17926430815889444
02_2,F,H,Sarah Lempereur,Bastien Blanchart,0.1791044776119403
90_1,F,H,Anaïs Beltran,Emmanuel PETITJEAN,0.17907242658337283
44_7,F,H,CATHERINE LEGAL,Jim Delémont,0.17902675525228945
25_4,F,H,Nadia Barznica,Christian Millet,0.17865261209792602
14_3,H,,Didier Canu, ,0.17865249939628108
29_5,F,,Pascale Marchand, ,0.1781469337568523
06_1,F,H,Bob Injey,Liliane Dotta,0.17810233615186657
78_12,H,F,Antoine Baro,Sabrina Assraoui,0.17777938963134893
22_3,H,F,Ronan Glaziou,Christelle Marcq,0.17764377195651573
06_3,H,,Bruno COULET, ,0.1772648018717494
57_3,H,F,Denis Maciazek,Margaux Sillet,0.17719183065102825
41_1,F,H,Kenza Belliard,Jeremie Fassot,0.17712373326660827
56_2,H,F,David JAN,Margot Balech,0.17700969146495624
92_13,H,F,Nicolas Lasgi,Julie Cazalet,0.17699884125144844
60_5,H,F,Laurent Grenier,Nadine Courtois,0.1765259549983129
38_8,F,H,Myriam Thieulent,Fabien Juglair,0.1761900078678206
71_4,F,H,Michèle Chambon,Alexandre Guechi,0.17591016811667964
49_7,H,F,Olivier Dupuis,Léa pouleau,0.17563226355075431
43_1,F,H,Martine DEJEAN,Didier Gagnaire,0.17547642410783454
38_7,F,H,Valérie Bono,Aurélien Delsaux,0.17536516971497929
71_1,F,H,Patricia Baci,Pierre FUENTES-EXPOSITO,0.1753576455078299
51_1,F,H,Laure MANESSE,Gaspar Pierre,0.17399963456970582
88_1,H,F,Fabrice Pisias,Virginie Gerardin,0.1737262331686853
60_6,F,H,Géraldine Minet,Jacques Delhay,0.17363070751028456
35_5,H,F,Mickaël Hugonnet,Laure Aumon,0.17342020603231015
92_10,H,,Gérald Dahan, ,0.17340652828246597
45_2,H,F,Olivier Hicter,Karin Fischer,0.17337363052512278
59_15,H,F,Hervé Walraeve,Valérie Gyzelinck,0.1733174586560603
69_13,F,H,Laure Lebaron,ROLAND PACAUD,0.17323638613861386
54_4,H,F,Vincent Guenaire-Doazan,Véronique Nobili,0.17309151814922405
80_5,H,F,Olivier Spinelli,Emmanuelle Alarcon Garcia,0.17287853054035351
80_3,F,H,Isabelle BRUSADELLI-DORION,DAVID Pauchet,0.17285964413450458
45_6,H,F,Jérôme SCHMITT,Véronique Seltz,0.1726261075838973
83_2,H,F,Michel Lagréca,Odile bozane,0.17259327297380048
57_9,H,,Jean-Luc Pierré, ,0.17232140488633046
56_4,F,H,Cécile Buchet,quentin Schillé,0.17199907396689432
72_1,H,F,Loïc Morisot,Evelyne Maillard,0.17194913645853102
89_2,H,F,Philippe Collin, ,0.17174457789682882
37_5,F,H,Constance ASCAR,Stéphane Renaud,0.17166269059226222
12_1,H,,Pierre-Arnaud Defontaines, ,0.17155961836574882
35_6,F,H,Hélène Mocquard,Nino Tocco,0.1714948504031638
27_5,H,F,Pierre ZIMMERMANN,Laurence FILIPPINI,0.17127398643774347
27_2,F,H,Nathalie PACOURET,Jean-Paul BOITEUX,0.1712318921595247
69_12,H,F,Eloi Navarro,Brigitte Gillet Chanel,0.1710126865433164
57_2,F,H,Claudine POIRSON,Christian Marques,0.1708601014736186
33_8,F,H,Cecile Coti,Jean-Pierre DiMeo,0.170735099798317
77_2,H,F,renaud HAMARD,Marie-Thérèse Gutierrez,0.17069155652160015
77_4,F,,Julie Garnier, ,0.17055717963261924
21_4,H,F,Stéphane GUINOT,Brigitte Mindus,0.17053893096095876
84_4,H,F,Farid Faryssy,Isabelle Bruet,0.17044886534039788
71_2,H,,Philippe Bonnot,Jacqueline Bramant,0.17036076977343198
74_4,F,H,Véronique Jacob,Cemil Sanli,0.17021208585721365
13_15,F,H,Michèle JUNG  (titulaire),Jean-Pierre ,0.17000035654437196
59_14,F,H,Delphine Decoster,Daniel Cordiez,0.16979444792212273
35_7,H,F,Nicolas CHEVALLIER,Céline Coucaud,0.16974745169633348
57_7,F,,Katia Donaté, ,0.16953208732803807
02_5,H,F,Omar Fenardji,Isabelle Lambert,0.16902834008097167
