code_circo,genre,nom,MACRON
49_4,F,Laetitia SAINT-PAUL,0.22958469435370976
42_6,H,Julien BOROWCZYK,0.2292995888274493
93_10,H,Billel OUADAH,0.22929244396164533
71_5,H,Raphael GAUVAIN,0.22928925421850904
80_1,H,Nicolas DUMONT,0.22922962517602014
24_1,H,Philippe CHASSAING,0.22870935728583203
74_5,F,Marion LENNE,0.228535074131445
34_1,F,Patricia MIRALLES,0.2284754561416902
93_11,F,Elsa WANLIN,0.22818605940228187
61_3,F,Isabelle BOSCHER,0.22800610965782406
17_3,H,Jean Philippe ARDOUIN,0.22739197774757405
32_2,H,Christophe SOCCIO,0.22647249854715756
69_9,F,Marion RIOU,0.22586584464313114
86_3,H,Jean-Michel CLEMENT,0.22554517133956387
71_3,H,Rémy REBEYROTTE,0.22543233707260732
23_1,H,Jean-Baptiste MOREAU,0.22500747320322842
93_5,F,Malika MAALEM,0.22370363427607376
05_1,F,Pascale BOYER,0.22370324900249924
64_4,H,Loic CORREGE,0.22338743758706506
33_10,H,Florent BOUDIE,0.22301297392618719
77_7,H,Rodrigue KOKOUENDO,0.22225554889022195
01_1,H,Laurent MALLET,0.22196024040684234
58_2,H,Patrice PERROT,0.2213712961222828
60_4,F,Emmanuelle BOUR POITRINAL,0.22128470332063147
74_6,H,Xavier ROSEREN,0.22099840715762362
81_2,F,Marie-Christine VERDIER JOUCLAS,0.22086481651484122
13_5,F,Cathy RACON-BOUZON,0.22077126335541683
59_11,H,Laurent PIETRASZEWSKY,0.22073265327030311
93_2,F,Véronique AVRIL,0.22064026231771508
01_4,H,Stéphane TROMPILLE,0.22038397258542478
18_2,F,Nadia ESSAYAN,0.21995656602540695
47_1,H,Michel LAUZZANA,0.21982920285046595
24_2,H,Michel DELPON,0.2197264263473425
25_5,F,Sylvie LE HIR,0.2194785064227505
72_1,H,Damien PICHEREAU,0.2192929484635691
69_14,H,Yves BLEIN,0.21901232094560752
74_3,H,Guillaume GIBOUIN,0.2185039063109143
68_1,F,Stéphanie VILLEMIN,0.21843303663837715
78_8,F,Khadija MOUDNIB,0.21826878851991538
06_7,H,Khaled BEN ABDERAHMANE,0.21810084991989573
13_4,F,Corinne VERSINI,0.21806075738660008
89_1,H,Paulo DA SILVA MOREIRA,0.21743145452408535
42_4,H,David KAUFFER,0.21739352401373307
48_1,H,Francis PALOMBI,0.21731364363304048
59_5,H,Guillaume DEKONINCK,0.21716269464188429
36_1,F,Emilie FARMAN,0.21632362438111638
95_9,F,Zivka PARK,0.21580214488947252
21_5,H,Didier PARIS,0.2154021711385715
34_9,H,Patrick VIGNAL,0.21537910522135884
82_1,H,Pierre MARDEGAN,0.21525821270453693
81_3,H,Jean TERLIER,0.2152425844741052
76_3,H,William Vladimir TCHAMAHA PATIPE,0.2144579235390915
17_4,H,Raphael GERARD,0.21378976033305294
26_4,F,Latifa CHAY,0.2135701829095186
88_1,F,Alisson HAMELIN,0.2128357804993572
18_3,H,Loic KERVRAN,0.21243822702045162
90_2,H,Bruno KERN,0.21143993056527705
72_2,F,Aurélie PEROT,0.21122127793515896
45_3,H,Jihan CHELLY,0.21102493271001557
62_5,H,Jean Pierre PONT,0.2105737680688167
06_1,F,Caroline REVERSO-MEINIETTI,0.21023695732094516
60_5,F,Fatima MASSAU,0.2095934930472926
39_2,F,Anne PROST-GROSJEAN,0.20887040887040886
38_6,F,Cendra MOTIN,0.20859489678003684
67_6,H,Guy SALOMON,0.2084778981380936
80_4,H,Jean Claude LECLABART,0.20828270854941472
38_7,F,Monique LIMON,0.20827578509744835
72_5,H,Willy COLIN,0.20823272727272726
77_6,F,Laetitia MARTIG DECES,0.20763865825307207
26_2,F,Alice THOUROT,0.2073397574859093
34_4,H,Jean-François ELIAOU,0.20694131235905616
67_9,H,Vincent THIEBAUT,0.2068019671676941
93_4,F,Prisca THEVENOT,0.2066288662302582
67_5,F,Eliane TOMASZEWSKI,0.20639631132966266
13_6,F,Eléonore LEPRETRE,0.20613965325274375
27_2,H,Fabien GOUTTEFARDE,0.20533133155515804
11_3,F,Mireille ROBERT,0.20522954877911556
27_4,H,Bruno QUESTEL,0.20494366619543333
47_3,H,Olivier DAMAISIN,0.20431635207360802
54_3,H,Xavier PALUSZKIEWICZ,0.20425589135038827
59_8,F,Catherine OSSON,0.2041014303117809
45_5,H,David SIMONNET,0.20387682155622766
07_3,H,Matthieu PEYRAUD,0.20382268951194185
04_2,H,Christophe CASTANER,0.20354814075074898
11_1,F,Danièle HERIN,0.20339567581907414
49_3,F,Anne BARRAULT,0.20289264254949574
70_1,F,Barbara BESSOT BALLOT,0.2028141050541672
84_1,H,Jean-Francois CESARINI,0.20279137010676157
01_5,F,Hélène DE MEIRE,0.20263290610924647
21_4,F,Yolaine DE COURSON,0.20241158738328063
88_3,H,Claude THIRARD,0.20230476227305247
25_3,H,Denis SOMMER,0.2018998100189981
52_1,F,Bérangère ABBA,0.20186935969058875
36_2,F,Sophie GUERIN,0.20182016642331627
09_2,F,Huguette BERTRAND VINZERICH,0.2013917568348889
60_6,F,Carole BUREAU-BONNARD,0.20074456872811342
62_8,H,Benoit POTTERIE,0.20057266568894475
10_2,F,Djamila HADDAD,0.200283218453559
977_1,F,Ines BOUCHAUT CHOISY,0.19987285441830896
84_5,H,Jean VIARD,0.19976434473884125
2B_2,H,Francis  GIUDICI,0.19849620504575224
28_2,F,Claire Tassadit HOUD,0.19841954022988506
59_10,F,Sophie TAIEB,0.19803283230588073
47_2,H,Alexandre FRESCHI,0.19766132237975353
04_1,F,Delphine BAGARRY,0.1966326782336979
30_3,H,Anthony CELLIER,0.19659849358029324
41_2,H,Jean-Luc BRAULT,0.1964122594260875
27_5,F,Claire OPETIT,0.19629202135334006
54_5,F,Marion BUCHET,0.19580229111591765
66_1,H,Romain GRAU,0.19550968130791832
60_7,H,Jean-Francois DARDENNE,0.19517727109943894
55_2,F,Emilie CARIOU,0.19517207068849907
76_10,H,Xavier BATUT,0.1951516930685244
25_4,H,Frédéric BARBIER,0.19450423447526705
89_2,H,Jean-Yves CAULLET,0.19433163397563294
33_11,F,Véronique HAMMERER,0.19407885622454352
06_9,H,Dominique FILLEBEEN,0.19329366355741395
2A_1,F,Maria GUIDICELLI,0.1931641939542914
59_15,F,Jennifer DE TEMMERMAN,0.19294274649361523
51_3,H,Eric GIRARDIN,0.19283616955696511
11_2,H,Alain PEREA,0.19283304109508304
28_4,F,Clémence ROUVIER,0.1927850251012448
55_1,F,Diana ANDRE,0.19222547439734272
54_4,H,Philippe BUZZI,0.19181649263301143
13_10,H,François-Michel LAMBERT,0.19177071376701257
13_8,H,Jean-Marc ZULESI,0.19115091736086268
84_2,F,Sonia STRAPELIAS,0.1908571601739473
30_1,F,Françoise DUMAS,0.19075091294074323
88_4,H,Raynald MAGNIEN COEURDACIER,0.1903391219809756
83_3,H,Alexandre ZAPOLSKI,0.19029789387135537
60_1,H,Denis FLOUR,0.19012173373652788
45_4,F,Mélusine HARLE,0.1895622131876952
27_3,F,Marie TAMARELLE,0.18952943090874125
13_1,H,Pascal CHAMASSIAN,0.18930558348414772
88_2,F,Christine URBES,0.18812268716196984
08_1,H,Jean Pierre MORALI,0.18796699599844188
66_4,F,Sebastien CAZENOVE,0.18769291912300456
60_3,H,Pascal BOIS,0.18768811810233624
974_5,F,Léopoldine SETTAMA-VIDON,0.18738630923887029
06_6,F,Nathalie AUDIN,0.18688301372971747
61_2,F,Ophélie LEROUGE,0.1866780911224528
67_7,F,Antoinette DE SANTIS,0.1862753816511042
76_9,F,Stéphanie KERBARH,0.18598721065426488
02_1,F,Aude BONO,0.1858063142203056
30_5,H,Olivier GAILLARD,0.1856734812620666
83_7,F,Emilie GUEREL,0.18484154257350133
83_2,F,Cécile MUSCHOTTI,0.18392162008485324
62_6,F,Brigitte BOURGUIGNON,0.18372519413287317
76_6,H,Philippe DUFOUR,0.18370508415351464
67_8,H,Christian GLIECH,0.18270211463928743
59_14,H,Julien LEMAITTE,0.18245461629852958
02_4,H,Marc DELATTE,0.18192283600534967
2B_1,H,Francois ORLANDI,0.18133367333928344
08_2,H,Mario IGLESIAS,0.1807569558977874
30_4,F,Annie CHAPELIER,0.1803905750132139
02_5,H,Jacques KRABAL,0.18031765805045158
68_3,H,Patrick STRIBY,0.17984935491088075
60_2,F,Agnès THILL,0.17981719297246504
62_1,H,Bruno DUVERGÉ,0.17952236193089743
13_15,F,Nathalie FARRO,0.17936558871418215
89_3,F,Michèle CROUZET,0.1793412683043096
