code_circo,nom,genre,HAMON
53_1,Guillaume GAROT,H,0.06166950596252129
33_5,Pascale GOT,F,0.061523515629464544
91_8,Faten BEN AHMED,H,0.061473705225680866
76_5,Christophe BOUILLON,H,0.06123466509217346
72_2,Marietta KARAMANLI,F,0.06107963487566887
974_6,Monique Orphe,F,0.061046655146877314
24_3,Colette LANGLADE,F,0.06088001479016454
36_2,Isabelle BRUNEAU,F,0.06068638986150291
57_8,Michel LIEBGOTT,H,0.06051467631684761
94_4,Zakaria ZAIDANE,F,0.06039440535140301
17_3,Françoise MESNARD,F,0.06013528463507918
974_7,Virginie Gobalou,F,0.05995486543837785
07_3,Sabine BUIS,F,0.0599526220145379
72_1,Françoise DUBOIS,F,0.05993892234165531
57_2,Jean-Michel TOULOUZE,H,0.059845192124538954
999_11,Florian Boeheme,H,0.059827865087764845
999_2,Florence Baillon,F,0.05981168858102783
34_8,Christian ASSAF,H,0.0595114194854004
66_3,Ségolène NEUVILLE,F,0.05949602623943484
86_3,Jean-Michel CLEMENT,H,0.059484250605745935
12_1,Sarah VIDAL,F,0.059466543077685265
05_1,Karine BERGER,F,0.05941158416275705
63_5,Gérard BETENFELD,H,0.05937930250476828
57_1,Aurélie FILIPETTI,F,0.059374678748182634
28_1,Stéphane CORDIER,H,0.05935425296487545
81_3,Linda GOURJADE,F,0.05921430228724249
77_3,Marie-Laure FAGES,F,0.058973924822214696
95_1,Sandra NGUYEN DEROSIER,F,0.058814436973490994
78_9,Ali MOHAMMAD,H,0.058622802863589514
999_6,Nicole Castioni,F,0.058550962429545904
68_5,Abdellatif TIMDOUINE,H,0.05848877647802719
76_7,Matthieu BRASSE,H,0.05844155844155844
07_2,Olivier DUSSOPT,H,0.058439899417752496
59_5,Aude LEDUC,F,0.058421072636740276
47_1,Lucette LOUSTEAU,F,0.05840858601886847
76_8,Catherine TROALLIC,F,0.05790485851349352
78_6,Angéline SILLY,F,0.0578915295551493
59_7,Hélène VIARD,F,0.057856673241288625
84_1,Christine LAGRANGE,F,0.057773576512455516
62_5,Frédéric CUVILLIER,H,0.05767241124478997
26_4,Pierre JOUVET,H,0.05745494856092252
16_3,Jérôme LAMBERT,H,0.057453569663159385
51_1,Alexandre TUNC,H,0.057372556184907726
54_5,Dominique POTIER,H,0.057293919730833934
34_4,Frédéric ROIG,H,0.05729057807601342
03_1,Magali ALEXANDRE,F,0.05725345782468756
42_3,Philippe KIZIRIAN,H,0.05708683563427139
03_2,Nicolas BRIEN,H,0.057077336707259216
76_2,Jacques Antoine PHILIPPE,H,0.05681892141676321
48_1,Aurélie MAILLOLS,F,0.05676366128730762
62_10,Bernard CAILLIAU,H,0.05671565225263285
77_9,Monique DELESSARD,F,0.056529859244750146
71_4,Cécile UNTERMAIER,F,0.05649483880202949
33_11,Michèle LACOSTE,F,0.056440663877420964
85_2,Sylviane BULTEAU,F,0.056434586644526157
01_3,Géraldine SACCHI,F,0.05636597848414163
27_4,Richard JACQUET,H,0.05613388738951006
61_3,Isabelle BOSCHER,F,0.05612809213644902
85_1,Cécile DREURE,F,0.05604121136434593
28_2,Nadia FAVERIS,F,0.05592672413793103
34_5,Marie PASSIEUX,F,0.05591197065688563
11_2,Marie-Hélène FABRE,F,0.055888723532792076
62_3,Frédérique MASSON,F,0.055886980464140555
08_2,Christophe LEONARD,H,0.05566860153790134
62_12,Nicolas BAYS,H,0.05562926994523178
16_2,Marianne REYNAUD,F,0.05561644258524613
77_1,Nicolas ALIX,H,0.055607574860025606
73_3,Philippe VIVIER,H,0.05558187273014369
47_3,Guillaume MOLIERAC,H,0.055408970976253295
974_2,Salim Nana Ibrahim,H,0.05538667952453827
74_4,Anne FAVRELLE,F,0.05528296760376544
14_3,Clotilde VALTER,F,0.05525235450374306
25_4,Frédéric BARBIER,H,0.055219166784011585
88_1,Martine FRANCOIS,F,0.055162730901955476
78_3,Nicolas HUE,H,0.05499565978607895
43_2,Josiane MIALON,F,0.05495637616303403
18_1,Céline BEZOUI,F,0.05489660198597066
47_2,Matthias FEKL,H,0.05488936001060024
30_5,Nelly FRONTANAU,F,0.05487821004469599
51_2,Imane MANIANI,F,0.05481293004587156
44_7,Anne BOYE,F,0.05476746274016879
38_8,Erwann BINET,H,0.054501049042748495
49_4,Meriem BABA,F,0.05449636690887274
38_10,Joelle HUILLIER,F,0.05447694290356923
13_14,Jean-David CIOT,H,0.05433205513524718
60_3,Johann LUCAS,H,0.054249677511824565
54_6,Julien VAILLANT,H,0.0542084454533155
42_4,Laurence JUBAN,F,0.053541116258886294
62_11,Philippe KEMEL,H,0.05308994434351299
57_9,Brigitte VAISSE,F,0.052736292012627
39_1,Marc-Henri DUVERNET,H,0.05263362412325866
59_10,Yasmina CHIGRI KERNAB,F,0.05250398282191591
18_3,Yann GALUT,H,0.0524443092830533
54_3,Christian ECKERT,H,0.05232460416176421
85_5,Hugues FOURAGE,H,0.05231197515945975
79_3,Marc BONNEAU,H,0.05224926913668636
77_7,Stéphane JABUT,H,0.052189562087582485
77_6,Bastien MARGUERITE,H,0.05217535702424444
14_4,Xavier MADELAINE,H,0.05211795049848718
43_1,Fabrice FARISON,H,0.05191602540928575
80_1,Pascale BOISTARD,F,0.051912092780406
18_2,Agnès SINSOULIER,F,0.05179405377356677
27_5,Martine SEGUELA,F,0.05162314240369355
72_5,Christophe ROUILLON,H,0.051607272727272724
60_7,Alexandre OUIZILLE,H,0.0515868278790566
66_4,Alexandre Reynal,H,0.05154666490031132
69_11,Jules JOASSARD,H,0.051478823578213796
42_5,Brigitte DUMOULIN,F,0.05141864067399599
13_7,Henri JIBRAYEL,H,0.05128205128205128
59_17,Agnès DUPUIS,F,0.05124871336475432
69_13,Françoise BERGAME,F,0.05100556930693069
74_5,Jean-Baptiste BAUD,H,0.050439809692409826
39_3,Françoise BARTHOULOT,F,0.05035577449370553
62_8,Bertrand PETIT,H,0.05033871080382708
76_9,Estelle GRELIER,F,0.050298594228939855
04_1,Delphine BAGARRY,F,0.05011923361565661
26_2,Isabelle MALRIC,F,0.04925805233493238
45_5,Thierry STROMBONI,H,0.04919920263953808
70_2,Jérôme LAROCHE,H,0.04911804613297151
999_8,Benjamin DJIANE’,H,0.04910745537276864
25_3,Sidonie MARCHAL,F,0.048775122487751225
