Classement des circonscriptions,Liste H/F EM,LFI,LR,FN,PS,Total Femmes jusqu’alors - EM,LFI,LR,FN,PS,Proportion de femmes jusqu’alors - EM,LFI,LR,FN,PS
88,F,H,H,H,H,44,39,22,28,37,0.5000,0.4432,0.2500,0.3182,0.4205
89,F,H,H,H,F,45,39,22,28,38,0.5056,0.4382,0.2472,0.3146,0.4270
90,H,H,F,H,F,45,39,23,28,39,0.5000,0.4333,0.2556,0.3111,0.4333
91,H,F,H,F,F,45,40,23,29,40,0.4945,0.4396,0.2527,0.3187,0.4396
92,F,H,H,F,F,46,40,23,30,41,0.5000,0.4348,0.2500,0.3261,0.4457
93,H,F,F,F,H,46,41,24,31,41,0.4946,0.4409,0.2581,0.3333,0.4409
94,H,F,H,F,H,46,42,24,32,41,0.4894,0.4468,0.2553,0.3404,0.4362
95,F,F,H,F,H,47,43,24,33,41,0.4947,0.4526,0.2526,0.3474,0.4316
96,H,F,F,F,H,47,44,25,34,41,0.4896,0.4583,0.2604,0.3542,0.4271
97,H,F,H,F,H,47,45,25,35,41,0.4845,0.4639,0.2577,0.3608,0.4227
98,H,H,H,H,F,47,45,25,35,42,0.4796,0.4592,0.2551,0.3571,0.4286
99,H,H,H,F,H,47,45,25,36,42,0.4747,0.4545,0.2525,0.3636,0.4242
100,F,H,H,F,H,48,45,25,37,42,0.4800,0.4500,0.2500,0.3700,0.4200
101,F,H,H,F,H,49,45,25,38,42,0.4851,0.4455,0.2475,0.3762,0.4158
102,H,H,H,F,F,49,45,25,39,43,0.4804,0.4412,0.2451,0.3824,0.4216
103,H,F,H,F,F,49,46,25,40,44,0.4757,0.4466,0.2427,0.3883,0.4272
104,F,H,H,F,F,50,46,25,41,45,0.4808,0.4423,0.2404,0.3942,0.4327
105,H,F,H,F,H,50,47,25,42,45,0.4762,0.4476,0.2381,0.4000,0.4286
106,F,F,H,F,F,51,48,25,43,46,0.4811,0.4528,0.2358,0.4057,0.4340
107,F,H,F,F,F,52,48,26,44,47,0.4860,0.4486,0.2430,0.4112,0.4393
108,F,H,H,H,F,53,48,26,44,48,0.4907,0.4444,0.2407,0.4074,0.4444
109,H,H,H,F,F,53,48,26,45,49,0.4862,0.4404,0.2385,0.4128,0.4495
110,F,H,H,H,H,54,48,26,45,49,0.4909,0.4364,0.2364,0.4091,0.4455
111,H,H,H,F,F,54,48,26,46,50,0.4865,0.4324,0.2342,0.4144,0.4505
112,F,F,F,H,F,55,49,27,46,51,0.4911,0.4375,0.2411,0.4107,0.4554
113,F,H,H,F,F,56,49,27,47,52,0.4956,0.4336,0.2389,0.4159,0.4602
114,H,F,F,F,H,56,50,28,48,52,0.4912,0.4386,0.2456,0.4211,0.4561
115,H,F,H,F,H,56,51,28,49,52,0.4870,0.4435,0.2435,0.4261,0.4522
116,H,H,H,F,H,56,51,28,50,52,0.4828,0.4397,0.2414,0.4310,0.4483
117,F,F,H,H,F,57,52,28,50,53,0.4872,0.4444,0.2393,0.4274,0.4530
118,F,H,F,F,F,58,52,29,51,54,0.4915,0.4407,0.2458,0.4322,0.4576
119,F,F,H,H,F,59,53,29,51,55,0.4958,0.4454,0.2437,0.4286,0.4622
120,F,F,H,H,H,60,54,29,51,55,0.5000,0.4500,0.2417,0.4250,0.4583
121,F,F,H,F,F,61,55,29,52,56,0.5041,0.4545,0.2397,0.4298,0.4628
122,H,H,H,H,F,61,55,29,52,57,0.5000,0.4508,0.2377,0.4262,0.4672
123,F,H,H,H,H,62,55,29,52,57,0.5041,0.4472,0.2358,0.4228,0.4634
124,F,H,H,F,F,63,55,29,53,58,0.5081,0.4435,0.2339,0.4274,0.4677
125,H,F,H,F,F,63,56,29,54,59,0.5040,0.4480,0.2320,0.4320,0.4720
126,H,H,F,H,H,63,56,30,54,59,0.5000,0.4444,0.2381,0.4286,0.4683
127,H,H,F,F,F,63,56,31,55,60,0.4961,0.4409,0.2441,0.4331,0.4724
128,F,F,H,F,H,64,57,31,56,60,0.5000,0.4453,0.2422,0.4375,0.4688
129,F,H,H,H,F,65,57,31,56,61,0.5039,0.4419,0.2403,0.4341,0.4729
130,H,F,H,H,H,65,58,31,56,61,0.5000,0.4462,0.2385,0.4308,0.4692
131,H,F,H,H,F,65,59,31,56,62,0.4962,0.4504,0.2366,0.4275,0.4733
132,H,H,H,H,F,65,59,31,56,63,0.4924,0.4470,0.2348,0.4242,0.4773
133,F,H,H,H,H,66,59,31,56,63,0.4962,0.4436,0.2331,0.4211,0.4737
134,H,F,H,F,H,66,60,31,57,63,0.4925,0.4478,0.2313,0.4254,0.4701
135,F,H,H,F,F,67,60,31,58,64,0.4963,0.4444,0.2296,0.4296,0.4741
136,H,F,H,F,F,67,61,31,59,65,0.4926,0.4485,0.2279,0.4338,0.4779
137,H,H,H,F,H,67,61,31,60,65,0.4891,0.4453,0.2263,0.4380,0.4745
138,H,F,F,H,F,67,62,32,60,66,0.4855,0.4493,0.2319,0.4348,0.4783
139,F,F,F,H,F,68,63,33,60,67,0.4892,0.4532,0.2374,0.4317,0.4820
140,H,F,H,H,H,68,64,33,60,67,0.4857,0.4571,0.2357,0.4286,0.4786
141,H,H,H,F,H,68,64,33,61,67,0.4823,0.4539,0.2340,0.4326,0.4752
142,H,F,H,F,F,68,65,33,62,68,0.4789,0.4577,0.2324,0.4366,0.4789
143,F,F,H,H,H,69,66,33,62,68,0.4825,0.4615,0.2308,0.4336,0.4755
144,F,F,H,H,F,70,67,33,62,69,0.4861,0.4653,0.2292,0.4306,0.4792
145,F,F,H,H,H,71,68,33,62,69,0.4897,0.4690,0.2276,0.4276,0.4759
146,H,H,H,F,H,71,68,33,63,69,0.4863,0.4658,0.2260,0.4315,0.4726
147,H,F,H,H,H,71,69,33,63,69,0.4830,0.4694,0.2245,0.4286,0.4694
148,F,H,H,F,H,72,69,33,64,69,0.4865,0.4662,0.2230,0.4324,0.4662
149,H,H,F,H,F,72,69,34,64,70,0.4832,0.4631,0.2282,0.4295,0.4698
150,F,H,F,H,F,73,69,35,64,71,0.4867,0.4600,0.2333,0.4267,0.4733
151,H,F,H,F,F,73,70,35,65,72,0.4834,0.4636,0.2318,0.4305,0.4768
152,H,H,H,F,H,73,70,35,66,72,0.4803,0.4605,0.2303,0.4342,0.4737
153,F,H,F,H,F,74,70,36,66,73,0.4837,0.4575,0.2353,0.4314,0.4771
154,H,F,H,H,H,74,71,36,66,73,0.4805,0.4610,0.2338,0.4286,0.4740
155,H,F,F,F,H,74,72,37,67,73,0.4774,0.4645,0.2387,0.4323,0.4710
156,F,H,H,H,F,75,72,37,67,74,0.4808,0.4615,0.2372,0.4295,0.4744
157,F,H,H,H,H,76,72,37,67,74,0.4841,0.4586,0.2357,0.4268,0.4713
158,H,F,H,H,F,76,73,37,67,75,0.4810,0.4620,0.2342,0.4241,0.4747
