code_circo,Exprimés,POUTOU,MÉLENCHON,ARTHAUD,LASSALLE,DUPONT-AIGNAN,ASSELINEAU,MACRON,LE PEN,FILLON,CHEMINADE,HAMON
12_3,58090,894,11648,381,2394,2798,408,13953,10457,11554,104,3499
13_1,59676,390,11609,186,486,2344,516,11297,17682,12708,81,2377
13_2,62155,337,9930,144,488,1860,499,14701,10973,20146,87,2990
13_3,52940,341,12898,172,390,1725,607,9655,16415,8450,79,2208
13_4,40851,410,15969,194,270,672,510,8908,5867,4428,79,3544
13_5,52226,414,13093,195,455,1561,465,11530,10235,10556,85,3637
13_6,56583,361,11256,190,415,2027,443,11664,14597,13027,78,2525
13_7,41652,344,16092,248,230,837,539,7068,10864,3201,93,2136
13_8,78268,640,14574,340,868,3942,779,14961,23403,15434,139,3188
13_9,75772,568,15822,275,772,3136,662,13565,21236,16757,127,2852
13_10,85378,592,16397,304,876,3768,654,16373,26436,16495,134,3349
13_11,69914,467,13139,206,626,2718,546,15900,16081,17033,111,3087
13_12,71051,527,13587,280,682,3141,598,11439,26497,11787,109,2404
13_13,72012,699,21520,451,742,2873,712,10618,23130,8443,115,2709
13_14,77192,551,15129,227,698,2874,696,19111,14655,18920,137,4194
13_15,84141,681,14304,375,1136,4140,641,15092,25597,18810,160,3205
13_16,69888,684,15875,327,906,2829,551,11430,22729,11272,126,3159
14_1,56869,668,12282,346,317,2178,362,16648,7161,11483,82,5342
14_2,53121,758,13307,436,341,2138,373,14119,9189,7604,91,4765
14_3,62115,897,11097,600,519,3494,479,12706,16535,12254,102,3432
14_4,80644,925,13157,547,607,3897,573,18909,16753,20937,136,4203
14_5,72783,848,12024,467,546,3840,464,18731,15021,16024,123,4695
14_6,76090,1173,13753,703,581,4532,579,18607,17111,14038,157,4856
15_1,49464,600,8301,350,1318,2131,311,14291,8532,10664,92,2874
15_2,42102,579,6265,342,1522,1916,216,10192,8103,10925,106,1936
16_1,63425,757,14148,425,828,2643,569,17427,11384,10215,131,4898
16_2,64783,858,11820,526,1029,3512,473,15514,14850,12442,156,3603
16_3,70805,1109,14787,700,1228,3853,498,16948,16364,11087,163,4068
17_1,79586,788,16783,378,843,2947,624,23118,10383,17634,134,5954
17_2,81594,1166,17226,561,1144,4435,617,20357,16379,14520,137,5052
17_3,63274,883,12669,534,888,3589,541,14388,14216,11628,133,3805
17_4,70139,964,11514,538,1189,4198,567,14995,18011,14787,133,3243
17_5,87675,1077,14342,565,1218,5180,671,18534,21833,20120,156,3979
18_1,54885,676,9846,467,594,2934,475,12659,11979,12129,113,3013
18_2,52033,637,11765,540,510,2637,446,11445,12701,8570,87,2695
18_3,65765,793,12082,623,821,3983,558,13971,17073,12267,145,3449
19_1,73614,1299,16492,553,2386,3532,520,19440,12448,11967,184,4793
19_2,72000,1020,13866,498,1867,3517,574,19778,12805,13460,145,4470
2A_1,34173,309,4716,89,2006,998,226,6601,9724,8114,51,1339
2A_2,38694,348,5369,129,1942,1220,259,6421,11133,10600,66,1207
2B_1,39215,342,5626,132,1972,1083,237,7111,11172,9790,173,1577
2B_2,42293,381,5495,145,2847,1161,245,8395,11011,10894,62,1657
21_1,55037,422,9992,258,403,2286,499,15517,7687,14018,84,3871
21_2,54058,529,10165,297,440,2754,450,13249,11842,10810,94,3428
21_3,55025,496,11346,329,413,2934,505,13312,12789,9149,102,3650
