code_circo,Exprimés,POUTOU,MÉLENCHON,ARTHAUD,LASSALLE,DUPONT-AIGNAN,ASSELINEAU,MACRON,LE PEN,FILLON,CHEMINADE,HAMON
75_4,59167,115,3950,55,229,770,266,16987,2455,32193,51,2096
75_5,63251,402,14474,172,284,760,431,25205,2432,10718,67,8306
75_6,62752,552,18164,215,295,890,474,21475,2861,8607,80,9139
75_7,64174,417,13231,163,324,917,426,25949,2655,12341,74,7677
75_8,67551,464,14422,217,412,1597,560,23569,4211,14350,122,7627
75_9,55593,510,13698,223,347,1212,570,19087,3703,9593,111,6539
75_10,54704,407,12716,202,330,1244,563,18896,3649,10156,94,6447
75_11,60477,350,9765,157,304,917,443,23464,2502,16145,92,6338
75_12,63007,242,6893,115,331,1078,425,22532,2842,24267,73,4209
75_13,62648,342,9044,150,364,1424,532,22370,3666,19512,82,5162
75_14,61400,118,3559,53,194,879,297,16742,2556,34999,50,1953
75_15,60490,610,18514,240,337,1203,612,18721,3733,8163,100,8257
75_16,54968,461,16776,249,284,909,510,16446,3136,8860,74,7263
75_17,43895,456,14996,179,222,706,519,12374,2682,5964,72,5725
75_18,55494,442,13554,153,310,794,465,20600,2625,9160,104,7287
76_1,49980,499,11768,213,271,1537,416,13936,5993,10819,80,4448
76_2,76823,715,12903,413,473,4016,585,19169,16360,17687,137,4365
76_3,52262,786,16386,429,267,1904,508,11208,10954,5237,97,4486
76_4,66981,988,17315,585,398,2882,671,13969,17424,7324,116,5309
76_5,76215,1057,15626,681,510,4016,565,16154,21230,11544,165,4667
76_6,85855,972,15797,813,616,4455,510,15772,26900,16305,164,3551
76_7,66836,662,15895,359,454,2996,455,15760,12917,13315,117,3906
76_8,47319,549,16514,327,232,1799,409,8427,11245,4988,89,2740
76_9,75688,1014,15634,703,558,4445,512,14077,21642,13162,134,3807
76_10,88567,1079,14556,833,604,4986,574,17284,26280,17955,179,4237
77_1,52331,495,10671,295,397,3112,617,12598,10356,10784,96,2910
77_2,62569,580,10680,356,495,3582,665,14689,13232,14645,127,3518
77_3,59060,555,12390,320,445,3767,704,12042,15273,9983,98,3483
77_4,68757,680,11727,435,608,4415,656,11888,22480,12780,132,2956
77_5,66449,594,12264,367,562,4348,801,14272,17511,12464,136,3130
77_6,60220,583,12682,353,461,3723,690,12504,16584,9399,99,3142
77_7,66680,569,14754,360,454,3852,864,14820,16232,11177,118,3480
77_8,69686,622,14748,313,518,3791,796,19772,11528,12939,132,4527
77_9,65859,569,13077,349,466,4846,763,16269,13905,11770,122,3723
77_10,60146,574,15702,311,438,2799,932,16168,9539,9138,107,4438
77_11,49136,533,13172,247,341,3293,709,12351,8969,5966,80,3475
78_1,68223,395,9912,181,432,2355,699,20452,6109,22242,114,5332
78_2,71281,407,9737,209,546,3028,651,23015,7546,21371,144,4627
78_3,67969,367,7693,174,416,2293,479,20029,6157,26525,98,3738
78_4,64276,355,8900,178,405,2439,575,21680,5985,19504,96,4159
78_5,58422,374,8946,184,337,1988,543,18526,5744,18103,100,3577
78_6,59076,395,8988,188,398,2106,597,18244,6195,18440,105,3420
78_7,63075,549,11761,306,528,3113,700,17945,9850,13663,108,4552
78_8,54355,586,14322,337,406,2613,858,11864,11838,7901,116,3514
78_9,71798,632,13519,421,559,4074,927,16860,15110,15352,135,4209
78_10,73434,516,11482,282,597,3892,780,20483,10322,19875,147,5058
78_11,51870,417,11276,197,363,2303,685,13794,6272,9846,95,6622
78_12,55147,455,9804,215,384,2702,653,16169,6896,14013,100,3756
79_1,70522,998,15069,510,780,3261,520,21366,9862,12055,118,5983
79_2,76832,1337,15714,780,1058,4050,535,19434,15235,13068,157,5464
79_3,67044,1148,10826,579,761,4045,423,17026,13543,15072,118,3503
80_1,63203,733,13702,605,434,2662,468,14488,18207,8525,98,3281
80_2,58532,586,12221,420,361,2429,511,16973,11051,10276,110,3594
80_3,66823,737,11551,710,571,3565,353,12664,22271,11828,141,2432
80_4,67490,786,11024,677,522,3703,500,14057,22234,11148,142,2697
80_5,63588,819,10993,699,477,3103,440,11338,23318,10057,88,2256
81_1,66902,698,12496,364,2221,3284,469,15363,14582,12963,124,4338
81_2,84966,1056,19522,546,2340,4065,670,18766,18522,12974,162,6343
81_3,81889,967,16076,487,2544,4091,683,17626,19298,15115,153,4849
82_1,72053,720,13924,384,1679,3441,650,15510,17463,13650,129,4503
82_2,74748,853,13917,446,1981,3792,687,14809,21720,12342,137,4064
83_1,54273,411,9140,204,606,2308,598,10631,13813,14139,96,2327
83_2,68589,529,11838,284,880,3512,587,12615,21476,14184,107,2577
83_3,79055,558,11851,279,959,3723,740,15044,21927,20910,128,2936
83_4,82237,629,10699,293,907,3804,805,12945,25768,23988,142,2257
83_5,74586,461,8866,250,619,3522,728,12697,23067,22240,97,2039
83_6,93049,718,15415,333,1170,4800,832,16156,30956,19203,141,3325
83_7,78570,543,12796,289,813,3485,646,14523,22451,20243,131,2650
83_8,82079,806,13579,342,979,4023,924,13986,26918,17409,135,2978
84_1,53952,485,14033,238,532,1880,605,10941,13132,8876,113,3117
84_2,65997,531,11902,256,881,3163,517,12596,19885,13315,104,2847
84_3,59574,496,10738,283,726,2934,495,9656,21066,10919,100,2161
84_4,70021,652,11935,336,1015,3538,640,12057,23642,13643,127,2436
84_5,64501,641,12248,277,832,2912,631,12885,18212,12793,99,2971
85_1,89684,1171,14245,710,749,5141,585,24770,16081,21039,167,5026
85_2,84310,1035,13688,635,794,4726,563,22695,15676,19600,140,4758
85_3,97606,959,13437,642,881,5599,662,23726,19531,27797,128,4244
85_4,81852,1178,11591,759,701,4996,494,22801,12411,22849,164,3908
85_5,65377,876,10194,548,685,3749,401,15997,13891,15519,97,3420
86_1,61953,948,13932,488,726,2858,501,16918,10387,9974,133,5088
86_2,61462,845,13769,417,652,2877,456,17506,8277,11222,123,5318
86_3,57780,1014,10839,639,836,3172,483,13032,13124,11058,146,3437
86_4,56553,835,10521,530,647,3013,456,11690,15236,10449,158,3018
87_1,65978,933,15406,559,1034,2755,470,17895,11673,9628,141,5484
87_2,77529,1133,17149,700,1383,3555,559,20154,14289,12965,155,5487
87_3,64907,978,13994,591,1101,2975,528,17528,11975,9928,144,5165
88_1,59116,748,10270,466,641,3515,561,12582,15944,11024,104,3261
88_2,56208,804,9183,529,639,3353,623,10574,18607,9042,100,2754
88_3,51719,877,8649,513,799,3667,584,10463,13562,9959,129,2517
88_4,52459,800,8422,496,671,3788,455,9985,15811,9554,122,2355
89_1,59559,640,9772,407,736,3779,629,12950,14870,12414,119,3243
89_2,57865,725,9938,472,636,3683,477,11245,16906,11032,107,2644
89_3,67129,763,11105,501,615,4206,669,12039,20864,13293,115,2959
90_1,35857,424,6421,256,325,1971,454,7220,10171,6547,83,1985
90_2,35717,462,7251,336,343,1799,487,7552,9078,6121,84,2204
91_1,51130,628,15182,327,369,2531,787,12905,8159,6429,103,3710
91_2,72144,669,13730,404,583,5047,805,15783,17574,13781,145,3623
91_3,77184,723,15793,372,655,4980,848,19088,15201,14313,153,5058
91_4,78789,720,14394,340,630,5156,894,21973,13375,16048,151,5108
91_5,56010,387,10670,185,400,2077,555,19213,4434,13481,130,4478
91_6,64391,534,14645,280,437,3077,827,19262,8227,11539,149,5414
91_7,55996,510,13101,278,441,3384,768,14134,9656,9614,98,4012
91_8,60107,443,12394,190,264,11222,653,14360,7790,9007,89,3695
91_9,61827,551,13700,283,379,4869,756,15496,10292,11433,122,3946
91_10,45904,590,12783,265,310,2449,621,11175,7753,6829,101,3028
92_1,44933,457,17266,245,267,1081,946,10641,5176,5087,76,3691
92_2,55117,364,10355,181,323,1316,560,18749,3795,14990,96,4388
92_3,65562,348,9227,153,362,1919,651,22775,4771,20907,104,4345
92_4,59664,490,15799,232,351,1702,868,18044,5699,11743,120,4616
92_5,57589,381,10756,176,309,1357,668,18001,4231,17572,103,4035
92_6,62820,291,6369,125,300,1273,465,17645,4062,29530,79,2681
92_7,71569,331,8452,177,470,2002,591,23749,5189,26562,133,3913
92_8,57164,322,8192,152,375,1520,557,19423,3837,18797,80,3909
92_9,53924,182,5346,68,255,1027,383,17616,2633,23748,65,2601
92_10,64121,367,11119,161,374,1675,656,23290,4256,16504,107,5612
92_11,55214,540,15421,272,364,1504,623,17261,4784,8775,88,5582
92_12,74589,551,14156,305,517,2726,790,24289,7106,17930,150,6069
92_13,72492,409,12831,200,480,2257,695,25204,5192,19408,144,5672
93_1,41810,501,16059,275,211,918,728,10541,4065,4327,91,4094
93_2,34767,502,15006,262,171,647,638,7671,3927,2680,81,3182
93_3,55656,563,14077,286,383,2458,736,15867,7867,9108,103,4208
93_4,41093,478,16620,257,213,1049,711,8491,6208,3855,86,3125
93_5,42677,499,15468,289,243,1293,741,9547,7009,4757,87,2744
93_6,36347,360,14219,333,177,683,509,8753,3806,3706,76,3725
93_7,55072,778,22093,296,299,1010,719,13631,4854,4869,95,6428
93_8,45333,411,11016,209,326,1977,590,11568,7174,8699,112,3251
93_9,50707,547,17417,328,317,1352,705,12443,5705,6608,106,5179
93_10,47869,517,15317,254,284,1792,967,10976,6923,7026,83,3730
93_11,43298,497,15543,252,253,1422,874,9880,7049,4666,89,2773
93_12,46248,395,11202,197,282,1982,813,10663,8869,8717,79,3049
94_1,67653,502,12682,223,459,2944,761,19932,6764,18678,121,4587
94_2,47728,508,15346,380,284,1923,785,12025,5763,6635,96,3983
94_3,54761,505,13915,235,348,4319,761,12753,9230,9069,89,3537
94_4,57555,470,11487,217,391,3270,680,15991,8544,12935,94,3476
94_5,68054,441,14428,234,473,2666,731,20338,7305,16760,132,4546
94_6,65677,446,13133,196,397,1868,531,22014,4653,16763,118,5558
94_7,49803,466,11994,246,326,2383,585,14778,6045,8944,81,3955
94_8,61705,405,11473,258,429,2578,632,18700,6562,15901,106,4661
94_9,39344,410,12314,259,253,1404,571,9699,5105,5401,77,3851
94_10,49022,593,17655,266,306,1449,725,12648,5055,5670,89,4566
94_11,46485,480,14685,235,291,1448,541,13324,4852,6058,63,4508
95_1,64695,646,13325,329,548,3500,729,14996,14338,12366,113,3805
95_2,59788,464,12661,309,477,3291,810,15082,11244,11391,116,3943
95_3,71023,608,15042,271,550,3815,941,18833,12719,13506,130,4608
95_4,58119,487,11980,311,456,3014,690,16365,8667,11976,115,4058
95_5,49262,498,16515,354,314,1599,828,11810,7434,5934,83,3893
95_6,57439,451,12300,230,431,2175,742,16214,7657,13267,81,3891
95_7,52596,414,11365,231,350,2134,654,13183,8029,12842,91,3303
95_8,36330,411,12079,189,180,906,753,7955,5390,5598,79,2790
95_9,50259,540,12792,294,369,2278,841,10846,11389,7598,80,3232
95_10,49648,531,13576,244,305,2119,727,13709,7517,6764,91,4065
971_1,25625,596,6127,539,169,425,285,8351,3375,3119,109,2530
971_2,31087,590,7625,497,147,585,384,9110,4677,4785,65,2622
971_3,31788,613,7833,450,188,599,397,10075,4062,4429,83,3059
971_4,23993,509,5554,494,154,433,253,6456,3089,4004,70,2977
972_1,28952,903,7805,665,214,629,374,7104,3372,5091,116,2679
972_2,29728,836,7458,629,240,597,332,8046,3486,5387,104,2613
972_3,23474,710,6454,460,193,446,319,5924,2215,3563,82,3108
972_4,27326,781,8241,503,224,668,382,6877,2902,4403,72,2273
973_1,17218,960,4225,318,166,302,324,3152,4151,2584,57,979
973_2,9616,445,2408,144,107,169,156,1879,2368,1350,41,549
974_1,47150,509,10052,507,236,1314,851,11084,9864,9114,101,3518
974_2,47701,641,15034,754,281,1293,848,8709,9475,7884,140,2642
974_3,51490,730,12309,911,319,1821,1022,8184,14913,7816,151,3314
974_4,62470,793,14050,847,325,1734,1019,9154,13691,12218,163,8476
974_5,41780,507,9474,809,189,1083,650,7829,11480,6770,100,2889
974_6,40510,498,9492,579,235,1151,570,8131,10847,6418,116,2473
974_7,59378,698,15576,783,354,1727,1069,13201,11949,10288,173,3560
976_1,15378,291,1450,148,103,450,218,3805,4056,3912,80,865
976_2,18091,338,1358,188,87,580,193,2598,5074,7000,86,589
988_1,40427,495,4003,335,350,1301,1074,5792,10582,13878,95,2522
988_2,46519,789,3700,501,345,1220,1024,5297,14708,13187,145,5603
987_1,28973,303,2214,261,184,681,423,3983,9481,10471,78,894
987_2,23048,236,1702,227,105,486,334,3844,7908,7557,64,585
987_3,23608,216,2035,202,158,600,448,3301,7210,8655,59,724
975_1,2632,64,933,28,54,79,36,473,478,261,9,217
986_1,5348,41,192,54,29,79,50,1630,380,1526,18,1349
977_1,7865,92,1153,35,68,216,112,1572,1834,2518,18,247
999_1,79911,369,13646,141,279,1130,691,36095,4790,16980,122,5668
999_2,24109,152,4673,51,114,216,244,9155,1680,6335,47,1442
999_3,58234,315,7807,130,192,790,470,29273,1833,12835,92,4497
999_4,67750,527,11899,195,331,1220,564,26268,4481,16102,154,6009
999_5,34759,269,6199,101,171,671,255,12169,3403,9044,60,2417
999_6,65823,559,9921,162,369,1598,782,22846,5318,20242,172,3854
999_7,53817,404,6678,118,227,830,401,28521,2192,9595,96,4755
999_8,28570,184,3192,103,126,454,184,10406,2065,10402,51,1403
999_9,42883,234,10894,102,191,490,471,14599,2028,11088,78,2708
999_10,48186,202,5901,113,241,728,568,14915,4731,18361,83,2343
999_11,50077,199,6882,96,289,710,948,19632,3405,14845,75,2996
